Jaar-Maand,Vlaams Gewest - Bouwsector,Vlaams Gewest - Niet-bouwsector,Waals Gewest - Bouwsector,Waals Gewest - Niet-bouwsector,Brussels Gewest - Bouwsector,Brussels Gewest - Niet-bouwsector
2005-12,98.82,97.84,90.62,99.48,68.18,78.42
2006-01,97.97,97.73,92.19,101.26,70.2,79.01
2006-02,96.28,98.57,92.19,101.83,76.26,79.6
2006-03,93.24,97.89,91.07,101.99,74.75,77.97
2006-04,93.07,97.39,87.95,102.09,72.73,78.81
2006-05,91.39,96.71,85.27,100.16,67.68,84.68
2006-06,87.16,95.17,84.38,97.85,67.68,84.81
2006-07,86.82,95.14,82.14,98.9,65.15,82.53
2006-08,85.98,94.89,83.26,98.27,64.14,81.62
2006-09,84.46,92.92,87.5,94.87,64.14,82.66
2006-10,83.78,93.43,85.94,94.4,68.69,83.96
2006-11,84.12,94.33,84.6,93.98,68.18,85.2
2006-12,84.46,92.45,89.73,94.14,70.71,85.98
2007-01,83.78,92.28,87.05,92.88,71.21,82.46
2007-02,84.12,91.8,86.38,91.68,70.71,81.94
2007-03,86.82,91.35,85.04,91.63,74.24,83.51
2007-04,86.82,91.49,85.49,92.73,74.75,84.94
2007-05,88.68,91.74,85.94,92.1,71.21,79.01
2007-06,91.89,90.28,88.17,92.41,74.75,79.34
2007-07,91.22,90.23,87.28,90.53,77.27,81.68
2007-08,91.39,90.85,86.83,89.8,79.29,81.16
2007-09,90.2,92.08,87.28,91.0,77.27,82.14
2007-10,91.55,93.51,87.05,92.1,79.29,83.9
2007-11,91.72,92.87,87.95,92.88,81.82,84.09
2007-12,92.57,92.39,86.83,93.2,79.29,83.77
2008-01,92.74,92.31,92.63,93.04,78.79,84.81
2008-02,92.91,92.42,91.74,91.58,75.25,85.85
2008-03,90.37,91.35,95.09,91.78,75.25,88.27
2008-04,93.58,92.5,96.43,91.37,79.29,88.01
2008-05,93.24,91.32,93.75,92.26,84.85,88.72
2008-06,91.72,93.54,94.42,96.23,83.33,91.4
2008-07,94.43,94.64,96.21,97.59,85.86,94.92
2008-08,92.57,94.89,95.76,97.96,85.35,95.57
2008-09,96.45,95.59,94.2,99.11,93.94,98.7
2008-10,97.13,96.32,96.43,97.8,92.42,97.2
2008-11,98.65,96.69,96.88,98.48,90.91,98.11
2008-12,100.0,100.0,100.0,100.0,100.0,100.0
2009-01,104.39,101.63,98.66,101.26,98.99,99.22
2009-02,108.28,103.17,103.12,103.56,98.48,100.46
2009-03,113.85,108.09,107.81,106.38,98.99,100.2
2009-04,113.51,108.71,107.81,108.53,98.99,100.52
2009-05,115.03,111.12,110.49,109.31,96.46,100.33
2009-06,119.09,111.93,110.71,106.23,93.94,100.39
2009-07,118.41,111.79,111.83,107.59,92.42,99.09
2009-08,121.11,111.57,111.61,108.37,93.94,100.07
