Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,585
2006-01,580
2006-02,570
2006-03,552
2006-04,551
2006-05,541
2006-06,516
2006-07,514
2006-08,509
2006-09,500
2006-10,496
2006-11,498
2006-12,500
2007-01,496
2007-02,498
2007-03,514
2007-04,514
2007-05,525
2007-06,544
2007-07,540
2007-08,541
2007-09,534
2007-10,542
2007-11,543
2007-12,548
2008-01,549
2008-02,550
2008-03,535
2008-04,554
2008-05,552
2008-06,543
2008-07,559
2008-08,548
2008-09,571
2008-10,575
2008-11,584
2008-12,592
2009-01,618
2009-02,641
2009-03,674
2009-04,672
2009-05,681
2009-06,705
2009-07,701
2009-08,717
2009-09,728
2009-10,741
2009-11,751
2009-12,754
2010-01,746
2010-02,743
2010-03,753
2010-04,757
2010-05,768
2010-06,772
2010-07,776
2010-08,784
2010-09,791
2010-10,781
2010-11,773
2010-12,797
2011-01,796
2011-02,784
2011-03,775
2011-04,767
2011-05,779
2011-06,774
2011-07,788
2011-08,783
2011-09,782
2011-10,792
2011-11,791
2011-12,771
2012-01,772
2012-02,797
2012-03,810
2012-04,848
2012-05,841
2012-06,864
2012-07,857
2012-08,871
2012-09,870
2012-10,884
2012-11,917
2012-12,943
2013-01,966
2013-02,976
2013-03,979
2013-04,985
2013-05,985
2013-06,965
2013-07,975
2013-08,985
2013-09,1034
2013-10,1055
2013-11,1048
2013-12,1044
2014-01,1052
2014-02,1056
2014-03,1041
2014-04,1028
2014-05,1034
2014-06,1042
2014-07,1047
2014-08,1025
2014-09,999
2014-10,983
2014-11,979
2014-12,977
2015-01,953
2015-02,935
2015-03,941
2015-04,944
2015-05,937
2015-06,943
2015-07,927
2015-08,928
2015-09,919
2015-10,906
2015-11,899
2015-12,894
2016-01,882
2016-02,876
2016-03,855
2016-04,852
2016-05,841
2016-06,839
2016-07,848
2016-08,838
2016-09,833
2016-10,810
2016-11,816
2016-12,810
2017-01,827
2017-02,833
2017-03,852
2017-04,822
2017-05,824
2017-06,821
2017-07,819
2017-08,824
2017-09,805
2017-10,830
2017-11,828
2017-12,807
2018-01,806
2018-02,803
2018-03,782
2018-04,802
2018-05,800
2018-06,791
2018-07,777
2018-08,774
2018-09,778
2018-10,777
2018-11,766
2018-12,767
2019-01,766
2019-02,773
2019-03,778
2019-04,776
2019-05,795
2019-06,802
2019-07,825
2019-08,819
2019-09,839
2019-10,837
2019-11,841
2019-12,864
2020-01,865
2020-02,849
2020-03,855
2020-04,808
2020-05,767
2020-06,764
2020-07,737
2020-08,742
2020-09,719
2020-10,698
2020-11,703
2020-12,680
2021-01,643
2021-02,641
2021-03,651
2021-04,689
2021-05,698
2021-06,687
2021-07,692
2021-08,698
2021-09,717
2021-10,750
2021-11,754
2021-12,792
2022-01,810
2022-02,834
2022-03,838
2022-04,842
2022-05,903
2022-06,951
2022-07,971
2022-08,978
2022-09,1026
2022-10,1029
2022-11,1041
2022-12,1059
2023-01,1113
2023-02,1135
2023-03,1172
2023-04,1189
2023-05,1209
2023-06,1233
2023-07,1262
2023-08,1263
2023-09,1275
2023-10,1300
2023-11,1328
2023-12,1366
2024-01,1381
2024-02,1428
2024-03,1433
2024-04,1461
2024-05,1486
2024-06,1506
2024-07,1530
2024-08,1561
2024-09,1562
2024-10,1592
2024-11,1614
2024-12,1612
2025-01,1634
2025-02,1636
2025-03,1662
2025-04,1682
2025-05,1698
2025-06,1745
2025-07,1736
2025-08,1716
2025-09,1744
