Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,105.78,99.23
2006-01,101.73,98.24
2006-02,102.89,97.11
2006-03,97.11,95.57
2006-04,101.16,94.16
2006-05,98.27,91.84
2006-06,98.27,89.23
2006-07,100.0,89.37
2006-08,100.0,90.08
2006-09,100.0,88.88
2006-10,100.0,89.8
2006-11,98.27,91.84
2006-12,97.69,88.74
2007-01,98.84,88.95
2007-02,95.95,89.3
2007-03,98.84,89.09
2007-04,92.49,89.58
2007-05,96.53,91.77
2007-06,96.53,90.71
2007-07,96.53,92.12
2007-08,95.95,92.82
2007-09,94.22,96.06
2007-10,97.69,99.86
2007-11,98.84,98.52
2007-12,101.16,99.01
2008-01,100.0,100.0
2008-02,101.73,100.35
2008-03,100.0,98.45
2008-04,104.05,100.7
2008-05,104.62,98.73
2008-06,101.16,99.09
2008-07,100.0,98.87
2008-08,97.69,98.24
2008-09,102.31,97.26
2008-10,96.53,96.34
2008-11,95.38,96.48
2008-12,97.11,98.45
2009-01,104.62,99.86
2009-02,108.67,100.63
2009-03,114.45,105.77
2009-04,120.81,106.05
2009-05,121.97,108.44
2009-06,127.17,112.53
2009-07,128.32,111.75
2009-08,130.06,110.63
2009-09,131.21,109.29
2009-10,134.68,109.64
2009-11,140.46,112.53
2009-12,141.62,112.6
2010-01,137.57,111.82
2010-02,140.46,112.95
2010-03,145.66,112.67
2010-04,141.04,113.58
2010-05,139.31,112.53
2010-06,139.88,110.91
2010-07,145.09,113.16
2010-08,144.51,114.22
2010-09,150.87,118.58
2010-10,155.49,117.1
2010-11,153.18,114.29
2010-12,157.23,113.44
2011-01,158.38,113.09
2011-02,160.12,111.12
2011-03,155.49,111.68
2011-04,156.07,108.87
2011-05,160.12,112.1
2011-06,163.58,111.82
2011-07,162.43,108.66
2011-08,161.85,108.44
2011-09,157.23,107.32
2011-10,152.6,106.69
2011-11,151.45,107.04
2011-12,143.93,109.22
2012-01,143.93,110.13
2012-02,142.77,111.96
2012-03,144.51,109.29
2012-04,148.55,111.82
2012-05,146.24,112.1
2012-06,146.82,111.82
2012-07,145.09,113.86
2012-08,147.98,115.27
2012-09,146.24,115.06
2012-10,146.24,118.09
2012-11,147.98,121.96
2012-12,156.65,120.13
2013-01,161.85,121.89
2013-02,161.27,121.04
2013-03,159.54,122.87
2013-04,163.01,124.14
2013-05,163.01,122.87
2013-06,160.69,122.45
2013-07,164.16,125.19
2013-08,167.05,123.65
2013-09,172.25,123.5
2013-10,178.03,125.83
2013-11,179.77,124.21
2013-12,179.19,125.76
2014-01,180.35,125.48
2014-02,189.02,127.87
2014-03,183.24,126.25
2014-04,179.19,124.14
2014-05,182.66,122.24
2014-06,180.35,122.52
2014-07,179.19,121.11
2014-08,175.72,121.39
2014-09,175.72,121.39
2014-10,173.99,119.49
2014-11,176.88,116.68
2014-12,176.88,118.93
2015-01,169.94,117.31
2015-02,158.96,113.37
2015-03,171.68,116.33
2015-04,170.52,117.52
2015-05,169.94,116.4
2015-06,173.41,116.68
2015-07,169.94,113.72
2015-08,166.47,111.96
2015-09,165.32,109.01
2015-10,163.58,106.62
2015-11,161.85,107.25
2015-12,161.85,105.98
2016-01,163.01,105.07
2016-02,164.74,107.6
2016-03,151.45,103.17
2016-04,153.76,101.27
2016-05,152.6,103.87
2016-06,153.18,105.28
2016-07,156.07,104.93
2016-08,156.65,105.77
2016-09,151.45,109.92
2016-10,147.4,108.8
2016-11,145.09,111.75
2016-12,140.46,107.67
2017-01,139.88,108.02
2017-02,139.88,106.4
2017-03,146.24,108.94
2017-04,136.99,107.67
2017-05,134.1,107.53
2017-06,134.1,103.03
2017-07,137.57,104.79
2017-08,138.15,105.42
2017-09,135.26,101.97
2017-10,136.99,104.43
2017-11,134.68,103.03
2017-12,134.1,102.81
2018-01,127.75,100.07
2018-02,128.9,99.51
2018-03,127.17,98.94
2018-04,134.68,99.37
2018-05,135.84,95.85
2018-06,135.84,96.55
2018-07,131.21,96.62
2018-08,128.9,96.83
2018-09,130.64,96.55
2018-10,132.37,94.51
2018-11,128.9,92.68
2018-12,129.48,93.24
2019-01,135.84,94.23
2019-02,141.04,96.13
2019-03,140.46,95.29
2019-04,136.99,95.07
2019-05,142.2,99.01
2019-06,138.73,100.7
2019-07,142.77,103.03
2019-08,143.35,102.53
2019-09,146.24,103.52
2019-10,147.4,104.43
2019-11,148.55,104.15
2019-12,150.29,106.4
2020-01,152.6,109.15
2020-02,145.09,108.8
2020-03,143.93,107.81
2020-04,136.99,102.96
2020-05,126.01,95.78
2020-06,122.54,91.84
2020-07,110.98,88.88
2020-08,113.29,90.78
2020-09,106.94,89.16
2020-10,98.84,84.31
2020-11,103.47,80.93
2020-12,102.31,75.44
2021-01,93.06,68.9
2021-02,91.33,63.34
2021-03,93.06,59.68
2021-04,97.69,62.28
2021-05,101.73,63.19
2021-06,98.84,62.42
2021-07,105.78,62.14
2021-08,106.36,58.69
2021-09,113.87,57.42
2021-10,124.28,58.97
2021-11,121.39,62.35
2021-12,126.59,67.35
2022-01,131.21,70.8
2022-02,134.1,74.1
2022-03,136.99,82.55
2022-04,144.51,86.07
2022-05,156.65,96.34
2022-06,174.57,106.19
2022-07,174.57,108.23
2022-08,172.83,108.52
2022-09,182.08,115.76
2022-10,184.39,120.27
2022-11,187.86,120.27
2022-12,187.86,123.29
2023-01,194.8,124.28
2023-02,198.84,127.38
2023-03,204.62,124.63
2023-04,205.2,125.62
2023-05,202.89,120.76
2023-06,197.11,118.23
2023-07,201.73,117.59
2023-08,205.78,118.93
2023-09,204.05,115.97
2023-10,201.16,114.14
2023-11,205.78,113.93
