Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,183
2006-01,176
2006-02,178
2006-03,168
2006-04,175
2006-05,170
2006-06,170
2006-07,173
2006-08,173
2006-09,173
2006-10,173
2006-11,170
2006-12,169
2007-01,171
2007-02,166
2007-03,171
2007-04,160
2007-05,167
2007-06,167
2007-07,167
2007-08,166
2007-09,163
2007-10,169
2007-11,171
2007-12,175
2008-01,173
2008-02,176
2008-03,173
2008-04,180
2008-05,181
2008-06,175
2008-07,173
2008-08,169
2008-09,177
2008-10,167
2008-11,165
2008-12,168
2009-01,181
2009-02,188
2009-03,198
2009-04,209
2009-05,211
2009-06,220
2009-07,222
2009-08,225
2009-09,227
2009-10,233
2009-11,243
2009-12,245
2010-01,238
2010-02,243
2010-03,252
2010-04,244
2010-05,241
2010-06,242
2010-07,251
2010-08,250
2010-09,261
2010-10,269
2010-11,265
2010-12,272
2011-01,274
2011-02,277
2011-03,269
2011-04,270
2011-05,277
2011-06,283
2011-07,281
2011-08,280
2011-09,272
2011-10,264
2011-11,262
2011-12,249
2012-01,249
2012-02,247
2012-03,250
2012-04,257
2012-05,253
2012-06,254
2012-07,251
2012-08,256
2012-09,253
2012-10,253
2012-11,256
2012-12,271
2013-01,280
2013-02,279
2013-03,276
2013-04,282
2013-05,282
2013-06,278
2013-07,284
2013-08,289
2013-09,298
2013-10,308
2013-11,311
2013-12,310
2014-01,312
2014-02,327
2014-03,317
2014-04,310
2014-05,316
2014-06,312
2014-07,310
2014-08,304
2014-09,304
2014-10,301
2014-11,306
2014-12,306
2015-01,294
2015-02,275
2015-03,297
2015-04,295
2015-05,294
2015-06,300
2015-07,294
2015-08,288
2015-09,286
2015-10,283
2015-11,280
2015-12,280
2016-01,282
2016-02,285
2016-03,262
2016-04,266
2016-05,264
2016-06,265
2016-07,270
2016-08,271
2016-09,262
2016-10,255
2016-11,251
2016-12,243
2017-01,242
2017-02,242
2017-03,253
2017-04,237
2017-05,232
2017-06,232
2017-07,238
2017-08,239
2017-09,234
2017-10,237
2017-11,233
2017-12,232
2018-01,221
2018-02,223
2018-03,220
2018-04,233
2018-05,235
2018-06,235
2018-07,227
2018-08,223
2018-09,226
2018-10,229
2018-11,223
2018-12,224
2019-01,235
2019-02,244
2019-03,243
2019-04,237
2019-05,246
2019-06,240
2019-07,247
2019-08,248
2019-09,253
2019-10,255
2019-11,257
2019-12,260
2020-01,264
2020-02,251
2020-03,249
2020-04,237
2020-05,218
2020-06,212
2020-07,192
2020-08,196
2020-09,185
2020-10,171
2020-11,179
2020-12,177
2021-01,161
2021-02,158
2021-03,161
2021-04,169
2021-05,176
2021-06,171
2021-07,183
2021-08,184
2021-09,197
2021-10,215
2021-11,210
2021-12,219
2022-01,227
2022-02,232
2022-03,237
2022-04,250
2022-05,271
2022-06,302
2022-07,302
2022-08,299
2022-09,315
2022-10,319
2022-11,325
2022-12,325
2023-01,337
2023-02,344
2023-03,354
2023-04,355
2023-05,351
2023-06,341
2023-07,349
2023-08,356
2023-09,353
2023-10,348
2023-11,356
2023-12,367
2024-01,366
2024-02,375
2024-03,372
2024-04,372
2024-05,376
2024-06,379
2024-07,378
2024-08,384
2024-09,383
2024-10,406
2024-11,412
2024-12,406
2025-01,421
2025-02,420
2025-03,430
2025-04,436
2025-05,430
2025-06,433
2025-07,439
2025-08,428
2025-09,427
