Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Antwerpen,2008,100.0,100.0
Antwerpen,2009,80.76,95.43
Antwerpen,2010,89.77,106.87
Antwerpen,2011,98.05,108.57
Antwerpen,2012,85.45,106.23
Antwerpen,2013,78.89,98.73
Antwerpen,2014,81.77,135.92
Antwerpen,2015,87.39,123.04
Antwerpen,2016,96.76,140.38
Antwerpen,2017,106.92,143.7
Antwerpen,2018,117.29,153.52
Antwerpen,2019,162.97,162.2
Antwerpen,2020,188.47,164.69
Antwerpen,2021,198.34,180.89
Antwerpen,2022,184.94,208.91
Antwerpen,2023,184.51,185.63
