Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,85.99,93.23
2006-01,88.54,94.12
2006-02,96.18,94.64
2006-03,94.27,92.71
2006-04,92.36,92.49
2006-05,85.99,99.85
2006-06,85.99,100.0
2006-07,82.8,97.32
2006-08,81.53,96.21
2006-09,81.53,96.95
2006-10,87.26,98.51
2006-11,87.26,100.22
2006-12,90.45,101.12
2007-01,91.08,97.02
2007-02,90.45,96.58
2007-03,94.9,98.44
2007-04,94.9,100.22
2007-05,90.45,92.78
2007-06,94.9,93.15
2007-07,98.73,96.06
2007-08,101.27,95.46
2007-09,98.73,96.73
2007-10,101.27,99.03
2007-11,103.82,99.18
2007-12,100.64,98.74
2008-01,100.0,100.0
2008-02,95.54,101.04
2008-03,95.54,104.17
2008-04,100.64,103.72
2008-05,107.64,105.13
2008-06,105.73,108.18
2008-07,108.92,112.13
2008-08,108.28,113.32
2008-09,119.11,117.49
2008-10,117.2,116.0
2008-11,115.92,117.41
2008-12,128.03,119.94
2009-01,126.75,118.97
2009-02,126.75,120.54
2009-03,127.39,120.01
2009-04,127.39,120.46
2009-05,124.84,119.79
2009-06,121.66,119.87
2009-07,119.11,118.53
2009-08,121.66,119.57
2009-09,119.11,118.68
2009-10,117.83,116.89
2009-11,121.66,121.06
2009-12,110.83,120.09
2010-01,120.38,125.22
2010-02,121.66,123.29
2010-03,121.02,122.92
2010-04,119.75,120.16
2010-05,122.93,121.65
2010-06,135.67,121.88
2010-07,136.31,122.54
2010-08,131.85,124.48
2010-09,128.03,124.03
2010-10,134.39,128.79
2010-11,136.31,127.6
2010-12,140.13,126.12
2011-01,141.4,124.33
2011-02,149.68,127.75
2011-03,150.32,127.23
2011-04,159.24,132.44
2011-05,167.52,135.27
2011-06,165.61,133.11
2011-07,168.79,134.75
2011-08,171.97,133.11
2011-09,185.35,133.93
2011-10,198.09,141.52
2011-11,200.64,144.57
2011-12,214.01,149.7
2012-01,208.28,148.59
2012-02,203.18,147.32
2012-03,206.37,148.81
2012-04,207.64,148.29
2012-05,205.1,145.68
2012-06,201.27,145.61
2012-07,205.73,143.97
2012-08,208.92,146.5
2012-09,206.37,150.22
2012-10,198.73,149.4
2012-11,192.36,145.76
2012-12,186.62,146.58
2013-01,196.82,151.64
2013-02,201.27,153.5
2013-03,199.36,156.7
2013-04,202.55,161.31
2013-05,201.91,163.91
2013-06,206.37,169.57
2013-07,207.64,176.04
2013-08,207.01,174.18
2013-09,213.38,176.93
2013-10,221.02,173.21
2013-11,226.75,172.02
2013-12,221.66,171.43
2014-01,215.29,167.34
2014-02,215.92,166.29
2014-03,223.57,163.99
2014-04,207.64,156.55
2014-05,208.28,155.43
2014-06,212.1,152.23
2014-07,206.37,144.49
2014-08,201.91,145.24
2014-09,201.27,142.11
2014-10,185.99,136.31
2014-11,187.9,137.13
2014-12,201.27,140.4
2015-01,201.27,140.33
2015-02,205.1,139.81
2015-03,220.38,142.19
2015-04,231.85,144.49
2015-05,243.31,146.28
2015-06,244.59,150.3
2015-07,249.68,152.31
2015-08,252.23,148.88
