Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,135
2006-01,139
2006-02,151
2006-03,148
2006-04,145
2006-05,135
2006-06,135
2006-07,130
2006-08,128
2006-09,128
2006-10,137
2006-11,137
2006-12,142
2007-01,143
2007-02,142
2007-03,149
2007-04,149
2007-05,142
2007-06,149
2007-07,155
2007-08,159
2007-09,155
2007-10,159
2007-11,163
2007-12,158
2008-01,157
2008-02,150
2008-03,150
2008-04,158
2008-05,169
2008-06,166
2008-07,171
2008-08,170
2008-09,187
2008-10,184
2008-11,182
2008-12,201
2009-01,199
2009-02,199
2009-03,200
2009-04,200
2009-05,196
2009-06,191
2009-07,187
2009-08,191
2009-09,187
2009-10,185
2009-11,191
2009-12,174
2010-01,189
2010-02,191
2010-03,190
2010-04,188
2010-05,193
2010-06,213
2010-07,214
2010-08,207
2010-09,201
2010-10,211
2010-11,214
2010-12,220
2011-01,222
2011-02,235
2011-03,236
2011-04,250
2011-05,263
2011-06,260
2011-07,265
2011-08,270
2011-09,291
2011-10,311
2011-11,315
2011-12,336
2012-01,327
2012-02,319
2012-03,324
2012-04,326
2012-05,322
2012-06,316
2012-07,323
2012-08,328
2012-09,324
2012-10,312
2012-11,302
2012-12,293
2013-01,309
2013-02,316
2013-03,313
2013-04,318
2013-05,317
2013-06,324
2013-07,326
2013-08,325
2013-09,335
2013-10,347
2013-11,356
2013-12,348
2014-01,338
2014-02,339
2014-03,351
2014-04,326
2014-05,327
2014-06,333
2014-07,324
2014-08,317
2014-09,316
2014-10,292
2014-11,295
2014-12,316
2015-01,316
2015-02,322
2015-03,346
2015-04,364
2015-05,382
2015-06,384
2015-07,392
2015-08,396
2015-09,375
2015-10,369
2015-11,354
2015-12,321
2016-01,309
2016-02,303
2016-03,262
2016-04,255
2016-05,239
2016-06,234
2016-07,220
2016-08,218
2016-09,243
2016-10,264
2016-11,275
2016-12,290
2017-01,298
2017-02,304
2017-03,326
2017-04,327
2017-05,342
2017-06,350
2017-07,358
2017-08,364
2017-09,350
2017-10,370
2017-11,385
2017-12,414
2018-01,445
2018-02,474
2018-03,485
2018-04,511
2018-05,494
2018-06,494
2018-07,517
2018-08,526
2018-09,530
2018-10,535
2018-11,538
2018-12,531
2019-01,523
2019-02,503
2019-03,506
2019-04,501
2019-05,528
2019-06,549
2019-07,549
2019-08,551
2019-09,564
2019-10,552
2019-11,546
2019-12,564
2020-01,551
2020-02,548
2020-03,535
2020-04,501
2020-05,451
2020-06,410
2020-07,381
2020-08,368
2020-09,350
2020-10,320
2020-11,302
2020-12,259
2021-01,241
2021-02,213
2021-03,189
2021-04,196
2021-05,222
2021-06,226
2021-07,225
2021-08,223
2021-09,224
2021-10,235
2021-11,233
2021-12,237
2022-01,246
2022-02,264
2022-03,299
2022-04,300
2022-05,331
2022-06,367
2022-07,370
2022-08,379
2022-09,378
2022-10,399
2022-11,409
2022-12,417
2023-01,415
2023-02,407
2023-03,382
2023-04,398
2023-05,362
2023-06,335
2023-07,334
2023-08,328
2023-09,337
2023-10,323
2023-11,334
2023-12,332
2024-01,356
2024-02,363
2024-03,362
2024-04,367
2024-05,367
2024-06,363
2024-07,374
2024-08,378
2024-09,408
2024-10,407
2024-11,394
2024-12,405
2025-01,400
2025-02,407
2025-03,420
2025-04,405
2025-05,416
2025-06,428
2025-07,428
2025-08,431
2025-09,410
2025-10,411
