Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Brussels,2008,100.0,100.0
Brussels,2009,99.9,91.36
Brussels,2010,106.78,108.7
Brussels,2011,130.83,107.0
Brussels,2012,139.47,108.45
Brussels,2013,162.18,105.59
Brussels,2014,179.75,162.82
Brussels,2015,177.6,119.14
Brussels,2016,181.19,132.11
Brussels,2017,179.24,137.39
Brussels,2018,183.45,142.21
Brussels,2019,146.87,141.66
Brussels,2020,136.9,130.41
Brussels,2021,128.78,136.4
Brussels,2022,116.86,154.08
Brussels,2023,106.37,140.98
