Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,85.21,90.46
2006-01,85.21,90.77
2006-02,86.39,90.46
2006-03,86.98,90.0
2006-04,81.66,91.54
2006-05,82.84,91.23
2006-06,82.84,88.77
2006-07,80.47,88.0
2006-08,78.11,86.77
2006-09,86.98,88.92
2006-10,88.17,88.62
2006-11,84.62,87.38
2006-12,88.17,87.38
2007-01,86.39,87.85
2007-02,88.76,86.62
2007-03,88.76,89.38
2007-04,89.35,90.62
2007-05,85.21,88.62
2007-06,87.57,91.08
2007-07,89.94,90.46
2007-08,89.94,89.08
2007-09,91.12,89.23
2007-10,88.17,92.46
2007-11,93.49,95.08
2007-12,94.08,98.0
2008-01,100.0,100.0
2008-02,99.41,99.54
2008-03,102.96,100.0
2008-04,104.73,101.23
2008-05,104.14,102.46
2008-06,103.55,106.46
2008-07,102.96,109.08
2008-08,101.18,109.85
2008-09,94.08,110.0
2008-10,96.45,107.69
2008-11,93.49,109.38
2008-12,98.82,110.77
2009-01,98.82,110.0
2009-02,104.14,111.38
2009-03,110.65,114.0
2009-04,114.2,113.23
2009-05,120.71,115.54
2009-06,123.67,111.38
2009-07,126.63,111.54
2009-08,127.81,112.31
2009-09,135.5,114.31
2009-10,137.28,114.31
2009-11,136.09,118.15
2009-12,131.95,116.0
2010-01,126.04,116.31
2010-02,124.26,116.31
2010-03,121.3,117.54
2010-04,117.75,116.92
2010-05,121.3,118.77
2010-06,118.34,120.15
2010-07,118.34,120.0
2010-08,120.12,120.92
2010-09,119.53,120.77
2010-10,120.71,121.54
2010-11,128.4,119.85
2010-12,127.81,119.54
2011-01,134.32,119.38
2011-02,133.73,120.92
2011-03,134.91,121.23
2011-04,134.32,120.77
2011-05,134.91,123.85
2011-06,140.83,124.92
2011-07,140.24,126.31
2011-08,139.64,128.0
2011-09,146.75,132.77
2011-10,144.38,135.54
2011-11,139.05,131.08
2011-12,145.56,131.69
2012-01,140.24,132.46
2012-02,139.64,133.85
2012-03,135.5,132.31
2012-04,143.79,136.15
2012-05,140.24,128.15
2012-06,141.42,130.15
2012-07,141.42,129.69
2012-08,140.83,129.23
2012-09,137.28,127.23
2012-10,139.64,125.38
2012-11,139.05,127.69
2012-12,136.09,128.62
2013-01,147.34,130.31
2013-02,146.75,130.31
2013-03,148.52,133.69
2013-04,144.97,133.08
2013-05,144.38,133.08
2013-06,140.24,130.62
2013-07,143.2,135.38
2013-08,143.2,134.62
2013-09,136.09,135.38
2013-10,130.18,138.31
2013-11,136.09,137.85
2013-12,137.87,142.62
2014-01,130.77,144.92
2014-02,134.91,146.31
2014-03,141.42,146.46
2014-04,140.83,147.08
2014-05,144.38,150.92
2014-06,146.15,152.0
2014-07,143.79,145.69
2014-08,148.52,148.92
2014-09,146.75,146.46
2014-10,154.44,144.46
2014-11,151.48,144.31
2014-12,149.7,139.38
2015-01,149.11,140.31
2015-02,146.15,136.46
2015-03,143.2,132.77
2015-04,146.75,131.23
2015-05,142.6,128.46
2015-06,139.05,129.54
2015-07,136.69,131.23
2015-08,132.54,128.0
2015-09,139.05,127.38
2015-10,133.14,120.92
2015-11,133.14,121.38
2015-12,126.04,120.31
2016-01,124.85,117.23
2016-02,127.81,115.54
2016-03,120.12,111.54
2016-04,114.2,112.62
2016-05,109.47,112.31
2016-06,106.51,107.08
2016-07,105.33,104.46
2016-08,105.33,101.69
2016-09,99.41,98.92
2016-10,94.67,101.23
2016-11,95.27,97.69
2016-12,96.45,95.85
2017-01,96.45,94.0
2017-02,89.35,97.54
2017-03,91.12,98.62
2017-04,86.39,96.0
2017-05,92.31,96.92
2017-06,94.08,97.23
2017-07,96.45,97.69
2017-08,98.22,99.69
2017-09,91.72,98.77
2017-10,97.04,98.15
2017-11,94.08,99.69
2017-12,103.55,101.23
2018-01,102.37,100.62
2018-02,104.14,96.92
2018-03,99.41,96.46
2018-04,104.73,95.85
2018-05,95.86,92.0
2018-06,94.08,88.77
2018-07,94.08,90.0
2018-08,94.67,88.77
2018-09,94.08,89.23
2018-10,96.45,88.0
2018-11,98.82,89.54
2018-12,93.49,89.08
2019-01,90.53,84.0
2019-02,94.08,84.77
2019-03,98.22,84.15
2019-04,95.27,85.23
2019-05,100.59,90.77
2019-06,102.37,91.69
2019-07,106.51,94.31
2019-08,105.92,94.31
2019-09,111.24,95.38
2019-10,108.88,94.46
2019-11,105.33,93.54
2019-12,101.18,95.23
2020-01,107.69,98.92
2020-02,110.06,98.31
2020-03,110.65,97.85
2020-04,105.33,93.08
2020-05,100.59,86.31
2020-06,95.86,86.92
2020-07,91.12,81.08
2020-08,89.94,81.54
2020-09,86.98,79.54
2020-10,81.66,79.54
2020-11,82.84,78.62
2020-12,85.21,73.08
2021-01,76.33,67.85
2021-02,66.27,65.69
2021-03,66.27,64.77
2021-04,69.23,65.38
2021-05,70.41,66.62
2021-06,72.19,63.38
2021-07,72.78,63.38
2021-08,70.41,62.46
2021-09,71.01,58.92
2021-10,73.37,58.0
2021-11,73.37,57.08
2021-12,71.6,57.85
2022-01,74.56,61.54
2022-02,76.33,64.92
2022-03,73.96,64.15
2022-04,72.19,65.85
2022-05,77.51,66.77
2022-06,77.51,71.23
2022-07,79.88,73.54
2022-08,82.84,74.77
2022-09,90.53,77.54
2022-10,97.04,79.69
2022-11,97.04,80.92
2022-12,100.59,83.69
2023-01,101.78,85.08
2023-02,102.96,83.38
2023-03,100.59,85.69
2023-04,106.51,86.46
2023-05,105.33,89.85
2023-06,108.88,88.92
2023-07,105.92,90.92
2023-08,105.33,90.92
2023-09,99.41,93.54
2023-10,95.27,96.92
2023-11,94.08,94.92
2023-12,90.53,94.62
2024-01,92.9,94.0
2024-02,96.45,95.69
2024-03,98.82,96.77
2024-04,100.59,101.23
2024-05,97.63,97.23
2024-06,98.22,100.15
2024-07,102.37,101.23
2024-08,101.18,100.62
2024-09,104.73,104.0
2024-10,102.96,100.46
2024-11,103.55,102.15
2024-12,107.69,104.46
2025-01,105.33,103.54
2025-02,102.96,103.54
2025-03,107.1,102.0
2025-04,104.73,100.31
2025-05,104.14,101.08
2025-06,105.33,100.62
2025-07,101.18,97.08
2025-08,101.18,98.62
2025-09,98.22,95.08
