Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,144
2006-01,144
2006-02,146
2006-03,147
2006-04,138
2006-05,140
2006-06,140
2006-07,136
2006-08,132
2006-09,147
2006-10,149
2006-11,143
2006-12,149
2007-01,146
2007-02,150
2007-03,150
2007-04,151
2007-05,144
2007-06,148
2007-07,152
2007-08,152
2007-09,154
2007-10,149
2007-11,158
2007-12,159
2008-01,169
2008-02,168
2008-03,174
2008-04,177
2008-05,176
2008-06,175
2008-07,174
2008-08,171
2008-09,159
2008-10,163
2008-11,158
2008-12,167
2009-01,167
2009-02,176
2009-03,187
2009-04,193
2009-05,204
2009-06,209
2009-07,214
2009-08,216
2009-09,229
2009-10,232
2009-11,230
2009-12,223
2010-01,213
2010-02,210
2010-03,205
2010-04,199
2010-05,205
2010-06,200
2010-07,200
2010-08,203
2010-09,202
2010-10,204
2010-11,217
2010-12,216
2011-01,227
2011-02,226
2011-03,228
2011-04,227
2011-05,228
2011-06,238
2011-07,237
2011-08,236
2011-09,248
2011-10,244
2011-11,235
2011-12,246
2012-01,237
2012-02,236
2012-03,229
2012-04,243
2012-05,237
2012-06,239
2012-07,239
2012-08,238
2012-09,232
2012-10,236
2012-11,235
2012-12,230
2013-01,249
2013-02,248
2013-03,251
2013-04,245
2013-05,244
2013-06,237
2013-07,242
2013-08,242
2013-09,230
2013-10,220
2013-11,230
2013-12,233
2014-01,221
2014-02,228
2014-03,239
2014-04,238
2014-05,244
2014-06,247
2014-07,243
2014-08,251
2014-09,248
2014-10,261
2014-11,256
2014-12,253
2015-01,252
2015-02,247
2015-03,242
2015-04,248
2015-05,241
2015-06,235
2015-07,231
2015-08,224
2015-09,235
2015-10,225
2015-11,225
2015-12,213
2016-01,211
2016-02,216
2016-03,203
2016-04,193
2016-05,185
2016-06,180
2016-07,178
2016-08,178
2016-09,168
2016-10,160
2016-11,161
2016-12,163
2017-01,163
2017-02,151
2017-03,154
2017-04,146
2017-05,156
2017-06,159
2017-07,163
2017-08,166
2017-09,155
2017-10,164
2017-11,159
2017-12,175
2018-01,173
2018-02,176
2018-03,168
2018-04,177
2018-05,162
2018-06,159
2018-07,159
2018-08,160
2018-09,159
2018-10,163
2018-11,167
2018-12,158
2019-01,153
2019-02,159
2019-03,166
2019-04,161
2019-05,170
2019-06,173
2019-07,180
2019-08,179
2019-09,188
2019-10,184
2019-11,178
2019-12,171
2020-01,182
2020-02,186
2020-03,187
2020-04,178
2020-05,170
2020-06,162
2020-07,154
2020-08,152
2020-09,147
2020-10,138
2020-11,140
2020-12,144
2021-01,129
2021-02,112
2021-03,112
2021-04,117
2021-05,119
2021-06,122
2021-07,123
2021-08,119
2021-09,120
2021-10,124
2021-11,124
2021-12,121
2022-01,126
2022-02,129
2022-03,125
2022-04,122
2022-05,131
2022-06,131
2022-07,135
2022-08,140
2022-09,153
2022-10,164
2022-11,164
2022-12,170
2023-01,172
2023-02,174
2023-03,170
2023-04,180
2023-05,178
2023-06,184
2023-07,179
2023-08,178
2023-09,168
2023-10,161
2023-11,159
2023-12,153
2024-01,157
2024-02,163
2024-03,167
2024-04,170
2024-05,165
2024-06,166
2024-07,173
2024-08,171
2024-09,177
2024-10,174
2024-11,175
2024-12,182
2025-01,178
2025-02,174
2025-03,181
2025-04,177
2025-05,176
2025-06,178
2025-07,171
2025-08,171
2025-09,166
