Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,85.71,112.86
2006-01,91.84,115.71
2006-02,100.0,120.57
2006-03,95.92,120.57
2006-04,87.76,123.14
2006-05,83.67,124.86
2006-06,74.49,126.57
2006-07,76.53,128.57
2006-08,75.51,128.86
2006-09,76.53,126.0
2006-10,79.59,127.14
2006-11,80.61,125.71
2006-12,81.63,124.86
2007-01,76.53,123.71
2007-02,72.45,120.86
2007-03,79.59,118.29
2007-04,82.65,117.43
2007-05,87.76,115.43
2007-06,100.0,111.43
2007-07,98.98,107.14
2007-08,98.98,107.14
2007-09,97.96,105.71
2007-10,103.06,106.0
2007-11,100.0,104.86
2007-12,100.0,101.71
2008-01,100.0,100.0
2008-02,95.92,101.71
2008-03,87.76,102.57
2008-04,92.86,101.43
2008-05,90.82,99.71
2008-06,79.59,100.86
2008-07,88.78,99.71
2008-08,89.8,100.29
2008-09,87.76,103.43
2008-10,83.67,107.71
2008-11,94.9,109.71
2008-12,98.98,116.57
2009-01,102.04,118.57
2009-02,107.14,120.29
2009-03,115.31,129.71
2009-04,116.33,132.86
2009-05,117.35,136.29
2009-06,125.51,136.0
2009-07,120.41,138.57
2009-08,120.41,140.29
2009-09,129.59,141.71
2009-10,131.63,136.86
2009-11,125.51,138.57
2009-12,126.53,136.57
2010-01,126.53,136.0
2010-02,128.57,137.14
2010-03,131.63,130.86
2010-04,132.65,136.29
2010-05,138.78,138.29
2010-06,141.84,142.0
2010-07,136.73,146.86
2010-08,142.86,144.86
2010-09,139.8,148.86
2010-10,136.73,153.43
2010-11,137.76,152.57
2010-12,140.82,150.86
2011-01,139.8,152.29
2011-02,133.67,156.86
2011-03,132.65,165.14
2011-04,127.55,157.43
2011-05,134.69,164.29
2011-06,128.57,164.86
2011-07,141.84,162.86
2011-08,139.8,165.14
2011-09,146.94,164.0
2011-10,153.06,165.14
2011-11,153.06,163.43
2011-12,154.08,168.86
2012-01,156.12,167.43
2012-02,162.24,162.57
2012-03,165.31,158.0
2012-04,167.35,158.86
2012-05,162.24,153.14
2012-06,169.39,152.0
2012-07,163.27,153.71
2012-08,165.31,154.57
2012-09,162.24,159.14
2012-10,166.33,159.43
2012-11,173.47,163.14
2012-12,167.35,160.86
2013-01,169.39,164.29
2013-02,176.53,162.57
2013-03,177.55,166.0
2013-04,180.61,167.43
2013-05,175.51,170.57
2013-06,171.43,176.0
2013-07,170.41,177.43
2013-08,174.49,176.29
2013-09,182.65,178.29
2013-10,184.69,184.57
2013-11,180.61,184.0
2013-12,183.67,182.0
2014-01,184.69,180.86
2014-02,183.67,183.43
2014-03,186.73,182.0
2014-04,189.8,179.71
2014-05,190.82,179.43
2014-06,193.88,178.0
2014-07,200.0,174.86
2014-08,188.78,173.14
2014-09,179.59,163.71
2014-10,175.51,160.29
2014-11,172.45,162.86
2014-12,178.57,161.43
2015-01,175.51,160.0
2015-02,175.51,164.86
2015-03,171.43,168.29
2015-04,174.49,172.0
2015-05,172.45,166.29
2015-06,165.31,169.14
2015-07,162.24,166.86
2015-08,167.35,166.29
2015-09,166.33,167.71
2015-10,167.35,164.29
2015-11,171.43,160.0
2015-12,167.35,159.14
2016-01,163.27,160.57
2016-02,157.14,154.29
2016-03,152.04,148.29
2016-04,146.94,147.71
2016-05,145.92,150.0
2016-06,151.02,141.71
2016-07,148.98,140.86
2016-08,146.94,143.14
2016-09,147.96,142.86
2016-10,138.78,139.71
2016-11,140.82,139.43
2016-12,140.82,139.71
2017-01,148.98,137.14
2017-02,147.96,137.14
2017-03,150.0,136.29
2017-04,144.9,133.43
2017-05,146.94,129.71
2017-06,142.86,132.29
2017-07,139.8,132.29
2017-08,139.8,131.43
2017-09,137.76,128.29
2017-10,154.08,136.0
2017-11,153.06,135.71
2017-12,145.92,130.57
2018-01,144.9,133.71
2018-02,148.98,132.0
2018-03,142.86,129.14
2018-04,138.78,125.14
2018-05,135.71,125.14
2018-06,140.82,122.0
2018-07,139.8,123.14
2018-08,138.78,122.29
2018-09,136.73,123.43
2018-10,131.63,122.29
2018-11,129.59,126.86
2018-12,131.63,132.57
2019-01,133.67,135.71
2019-02,130.61,141.71
2019-03,130.61,142.29
2019-04,133.67,149.43
2019-05,137.76,153.43
2019-06,143.88,155.14
2019-07,150.0,159.14
2019-08,151.02,158.0
2019-09,155.1,160.0
2019-10,152.04,155.14
2019-11,157.14,149.71
2019-12,158.16,151.14
2020-01,156.12,148.0
2020-02,150.0,140.29
2020-03,153.06,146.86
2020-04,146.94,137.43
2020-05,140.82,130.86
2020-06,137.76,131.43
2020-07,136.73,131.14
2020-08,135.71,132.57
2020-09,134.69,127.14
2020-10,129.59,128.29
2020-11,125.51,125.14
2020-12,128.57,121.14
2021-01,119.39,116.0
2021-02,125.51,116.0
2021-03,131.63,106.57
2021-04,136.73,110.0
2021-05,134.69,109.71
2021-06,128.57,105.14
2021-07,122.45,99.43
2021-08,127.55,100.57
2021-09,126.53,99.43
2021-10,129.59,95.14
2021-11,126.53,94.86
2021-12,126.53,94.57
2022-01,128.57,98.0
2022-02,125.51,100.86
2022-03,117.35,104.86
2022-04,119.39,104.0
2022-05,126.53,110.0
2022-06,130.61,123.14
2022-07,134.69,123.14
2022-08,134.69,120.0
2022-09,140.82,124.86
2022-10,134.69,124.0
2022-11,136.73,126.29
2022-12,139.8,126.29
2023-01,146.94,126.29
2023-02,150.0,126.0
2023-03,161.22,127.14
2023-04,163.27,128.57
2023-05,162.24,130.86
2023-06,158.16,123.14
2023-07,161.22,130.29
2023-08,159.18,134.86
2023-09,155.1,131.71
2023-10,164.29,137.71
2023-11,169.39,144.0
2023-12,164.29,148.86
2024-01,168.37,150.86
2024-02,177.55,152.57
2024-03,175.51,152.29
2024-04,172.45,152.29
2024-05,181.63,156.57
2024-06,203.06,156.0
2024-07,212.24,157.14
2024-08,211.22,154.29
2024-09,224.49,157.71
2024-10,229.59,160.57
2024-11,229.59,160.0
2024-12,234.69,160.0
2025-01,242.86,160.86
2025-02,243.88,161.14
2025-03,243.88,167.71
2025-04,245.92,170.86
2025-05,243.88,164.86
2025-06,244.9,175.43
2025-07,231.63,170.0
2025-08,231.63,170.29
2025-09,222.45,172.86
2025-10,221.43,168.29
