Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,84
2006-01,90
2006-02,98
2006-03,94
2006-04,86
2006-05,82
2006-06,73
2006-07,75
2006-08,74
2006-09,75
2006-10,78
2006-11,79
2006-12,80
2007-01,75
2007-02,71
2007-03,78
2007-04,81
2007-05,86
2007-06,98
2007-07,97
2007-08,97
2007-09,96
2007-10,101
2007-11,98
2007-12,98
2008-01,98
2008-02,94
2008-03,86
2008-04,91
2008-05,89
2008-06,78
2008-07,87
2008-08,88
2008-09,86
2008-10,82
2008-11,93
2008-12,97
2009-01,100
2009-02,105
2009-03,113
2009-04,114
2009-05,115
2009-06,123
2009-07,118
2009-08,118
2009-09,127
2009-10,129
2009-11,123
2009-12,124
2010-01,124
2010-02,126
2010-03,129
2010-04,130
2010-05,136
2010-06,139
2010-07,134
2010-08,140
2010-09,137
2010-10,134
2010-11,135
2010-12,138
2011-01,137
2011-02,131
2011-03,130
2011-04,125
2011-05,132
2011-06,126
2011-07,139
2011-08,137
2011-09,144
2011-10,150
2011-11,150
2011-12,151
2012-01,153
2012-02,159
2012-03,162
2012-04,164
2012-05,159
2012-06,166
2012-07,160
2012-08,162
2012-09,159
2012-10,163
2012-11,170
2012-12,164
2013-01,166
2013-02,173
2013-03,174
2013-04,177
2013-05,172
2013-06,168
2013-07,167
2013-08,171
2013-09,179
2013-10,181
2013-11,177
2013-12,180
2014-01,181
2014-02,180
2014-03,183
2014-04,186
2014-05,187
2014-06,190
2014-07,196
2014-08,185
2014-09,176
2014-10,172
2014-11,169
2014-12,175
2015-01,172
2015-02,172
2015-03,168
2015-04,171
2015-05,169
2015-06,162
2015-07,159
2015-08,164
2015-09,163
2015-10,164
2015-11,168
2015-12,164
2016-01,160
2016-02,154
2016-03,149
2016-04,144
2016-05,143
2016-06,148
2016-07,146
2016-08,144
2016-09,145
2016-10,136
2016-11,138
2016-12,138
2017-01,146
2017-02,145
2017-03,147
2017-04,142
2017-05,144
2017-06,140
2017-07,137
2017-08,137
2017-09,135
2017-10,151
2017-11,150
2017-12,143
2018-01,142
2018-02,146
2018-03,140
2018-04,136
2018-05,133
2018-06,138
2018-07,137
2018-08,136
2018-09,134
2018-10,129
2018-11,127
2018-12,129
2019-01,131
2019-02,128
2019-03,128
2019-04,131
2019-05,135
2019-06,141
2019-07,147
2019-08,148
2019-09,152
2019-10,149
2019-11,154
2019-12,155
2020-01,153
2020-02,147
2020-03,150
2020-04,144
2020-05,138
2020-06,135
2020-07,134
2020-08,133
2020-09,132
2020-10,127
2020-11,123
2020-12,126
2021-01,117
2021-02,123
2021-03,129
2021-04,134
2021-05,132
2021-06,126
2021-07,120
2021-08,125
2021-09,124
2021-10,127
2021-11,124
2021-12,124
2022-01,126
2022-02,123
2022-03,115
2022-04,117
2022-05,124
2022-06,128
2022-07,132
2022-08,132
2022-09,138
2022-10,132
2022-11,134
2022-12,137
2023-01,144
2023-02,147
2023-03,158
2023-04,160
2023-05,159
2023-06,155
2023-07,158
2023-08,156
2023-09,152
2023-10,161
2023-11,166
2023-12,161
2024-01,165
2024-02,174
2024-03,172
2024-04,169
2024-05,178
2024-06,199
2024-07,208
2024-08,207
2024-09,220
2024-10,225
2024-11,225
2024-12,230
2025-01,238
2025-02,239
2025-03,239
2025-04,241
2025-05,239
2025-06,240
2025-07,227
2025-08,227
2025-09,218
