Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,112.5,109.8
2006-01,109.17,114.29
2006-02,111.67,116.78
2006-03,115.0,116.94
2006-04,118.33,116.11
2006-05,105.83,113.46
2006-06,99.17,110.8
2006-07,98.33,113.12
2006-08,105.0,111.96
2006-09,101.67,105.65
2006-10,95.83,105.48
2006-11,92.5,104.82
2006-12,99.17,108.64
2007-01,96.67,105.65
2007-02,88.33,103.99
2007-03,80.83,101.33
2007-04,80.83,101.66
2007-05,85.0,100.33
2007-06,90.0,101.5
2007-07,85.83,99.83
2007-08,80.83,99.67
2007-09,85.0,101.0
2007-10,89.17,101.5
2007-11,88.33,104.15
2007-12,90.83,100.5
2008-01,100.0,100.0
2008-02,105.83,98.01
2008-03,112.5,97.51
2008-04,114.17,96.68
2008-05,110.0,97.18
2008-06,111.67,98.5
2008-07,115.0,98.84
2008-08,115.83,99.83
2008-09,115.0,101.33
2008-10,121.67,100.17
2008-11,128.33,100.0
2008-12,129.17,100.66
2009-01,126.67,104.82
2009-02,129.17,107.14
2009-03,131.67,108.47
2009-04,125.83,114.29
2009-05,128.33,114.29
2009-06,126.67,113.62
2009-07,125.83,114.62
2009-08,124.17,114.95
2009-09,125.83,118.27
2009-10,123.33,119.44
2009-11,124.17,118.6
2009-12,121.67,118.94
2010-01,116.67,116.78
2010-02,120.83,119.44
2010-03,118.33,120.93
2010-04,126.67,116.94
2010-05,133.33,120.27
2010-06,128.33,122.76
2010-07,130.83,123.09
2010-08,133.33,124.42
2010-09,138.33,122.59
2010-10,140.0,121.76
2010-11,135.0,122.43
2010-12,135.83,120.1
2011-01,141.67,121.59
2011-02,139.17,118.6
2011-03,137.5,120.76
2011-04,130.0,119.6
2011-05,136.67,121.1
2011-06,145.0,118.77
2011-07,140.83,121.43
2011-08,140.83,119.44
2011-09,140.83,120.1
2011-10,142.5,123.75
2011-11,143.33,123.75
2011-12,139.17,126.58
2012-01,136.67,127.57
2012-02,138.33,128.74
2012-03,142.5,126.58
2012-04,147.5,130.23
2012-05,136.67,130.4
2012-06,128.33,133.55
2012-07,130.83,131.56
2012-08,134.17,133.55
2012-09,126.67,131.56
2012-10,131.67,132.23
2012-11,135.83,134.55
2012-12,135.0,133.72
2013-01,143.33,133.89
2013-02,145.0,136.71
2013-03,143.33,139.04
2013-04,140.0,139.87
2013-05,146.67,137.38
2013-06,155.0,135.22
2013-07,165.0,138.7
2013-08,165.0,139.37
2013-09,172.5,147.01
2013-10,178.33,148.17
2013-11,178.33,147.18
2013-12,186.67,151.5
2014-01,181.67,156.15
2014-02,173.33,155.81
2014-03,184.17,156.64
2014-04,190.0,157.14
2014-05,188.33,157.31
2014-06,188.33,159.47
2014-07,182.5,157.64
2014-08,177.5,155.81
2014-09,179.17,151.83
2014-10,169.17,149.34
2014-11,159.17,147.01
2014-12,160.83,145.35
2015-01,159.17,138.87
2015-02,160.83,138.54
2015-03,155.83,140.86
2015-04,150.83,135.88
2015-05,145.83,137.21
2015-06,147.5,138.87
2015-07,145.0,135.71
2015-08,144.17,133.06
2015-09,135.83,127.57
2015-10,133.33,124.92
2015-11,146.67,131.89
2015-12,135.83,129.4
2016-01,139.17,128.24
2016-02,142.5,125.75
2016-03,131.67,119.6
2016-04,131.67,119.93
2016-05,126.67,119.1
2016-06,130.0,114.62
2016-07,129.17,115.12
2016-08,130.0,120.6
2016-09,135.83,122.76
2016-10,133.33,124.09
2016-11,125.83,118.6
2016-12,130.83,117.94
2017-01,126.67,116.94
2017-02,121.67,115.61
2017-03,123.33,117.94
2017-04,129.17,119.6
2017-05,136.67,120.1
2017-06,131.67,121.76
2017-07,132.5,122.26
2017-08,133.33,119.6
2017-09,130.83,119.1
2017-10,136.67,121.59
2017-11,140.83,122.26
2017-12,137.5,123.26
2018-01,144.17,124.75
2018-02,145.83,124.42
2018-03,150.83,121.76
2018-04,149.17,121.93
2018-05,139.17,114.78
2018-06,140.0,114.29
2018-07,137.5,114.78
2018-08,140.0,113.95
2018-09,140.0,112.62
2018-10,142.5,111.63
2018-11,140.83,112.96
