Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,135
2006-01,131
2006-02,134
2006-03,138
2006-04,142
2006-05,127
2006-06,119
2006-07,118
2006-08,126
2006-09,122
2006-10,115
2006-11,111
2006-12,119
2007-01,116
2007-02,106
2007-03,97
2007-04,97
2007-05,102
2007-06,108
2007-07,103
2007-08,97
2007-09,102
2007-10,107
2007-11,106
2007-12,109
2008-01,120
2008-02,127
2008-03,135
2008-04,137
2008-05,132
2008-06,134
2008-07,138
2008-08,139
2008-09,138
2008-10,146
2008-11,154
2008-12,155
2009-01,152
2009-02,155
2009-03,158
2009-04,151
2009-05,154
2009-06,152
2009-07,151
2009-08,149
2009-09,151
2009-10,148
2009-11,149
2009-12,146
2010-01,140
2010-02,145
2010-03,142
2010-04,152
2010-05,160
2010-06,154
2010-07,157
2010-08,160
2010-09,166
2010-10,168
2010-11,162
2010-12,163
2011-01,170
2011-02,167
2011-03,165
2011-04,156
2011-05,164
2011-06,174
2011-07,169
2011-08,169
2011-09,169
2011-10,171
2011-11,172
2011-12,167
2012-01,164
2012-02,166
2012-03,171
2012-04,177
2012-05,164
2012-06,154
2012-07,157
2012-08,161
2012-09,152
2012-10,158
2012-11,163
2012-12,162
2013-01,172
2013-02,174
2013-03,172
2013-04,168
2013-05,176
2013-06,186
2013-07,198
2013-08,198
2013-09,207
2013-10,214
2013-11,214
2013-12,224
2014-01,218
2014-02,208
2014-03,221
2014-04,228
2014-05,226
2014-06,226
2014-07,219
2014-08,213
2014-09,215
2014-10,203
2014-11,191
2014-12,193
2015-01,191
2015-02,193
2015-03,187
2015-04,181
2015-05,175
2015-06,177
2015-07,174
2015-08,173
2015-09,163
2015-10,160
2015-11,176
2015-12,163
2016-01,167
2016-02,171
2016-03,158
2016-04,158
2016-05,152
2016-06,156
2016-07,155
2016-08,156
2016-09,163
2016-10,160
2016-11,151
2016-12,157
2017-01,152
2017-02,146
2017-03,148
2017-04,155
2017-05,164
2017-06,158
2017-07,159
2017-08,160
2017-09,157
2017-10,164
2017-11,169
2017-12,165
2018-01,173
2018-02,175
2018-03,181
2018-04,179
2018-05,167
2018-06,168
2018-07,165
2018-08,168
2018-09,168
2018-10,171
2018-11,169
2018-12,189
2019-01,185
2019-02,187
2019-03,185
2019-04,193
2019-05,200
2019-06,203
2019-07,206
2019-08,207
2019-09,205
2019-10,192
2019-11,195
2019-12,181
2020-01,184
2020-02,187
2020-03,180
2020-04,164
2020-05,160
2020-06,148
2020-07,142
2020-08,140
2020-09,138
2020-10,133
2020-11,131
2020-12,127
2021-01,117
2021-02,112
2021-03,118
2021-04,122
2021-05,121
2021-06,121
2021-07,127
2021-08,125
2021-09,125
2021-10,129
2021-11,129
2021-12,128
2022-01,129
2022-02,126
2022-03,121
2022-04,119
2022-05,123
2022-06,133
2022-07,125
2022-08,124
2022-09,131
2022-10,127
2022-11,129
2022-12,126
2023-01,132
2023-02,132
2023-03,141
2023-04,143
2023-05,146
2023-06,150
2023-07,161
2023-08,162
2023-09,157
2023-10,162
2023-11,164
2023-12,172
2024-01,172
2024-02,180
2024-03,182
2024-04,192
2024-05,199
2024-06,192
2024-07,195
2024-08,199
2024-09,201
2024-10,207
2024-11,194
2024-12,191
2025-01,197
2025-02,190
2025-03,193
2025-04,189
2025-05,178
2025-06,180
2025-07,175
2025-08,173
2025-09,176
