Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,87.5,137.65
2006-01,87.5,141.18
2006-02,87.5,147.06
2006-03,66.67,148.24
2006-04,70.83,151.76
2006-05,62.5,154.12
2006-06,66.67,143.53
2006-07,54.17,143.53
2006-08,54.17,147.06
2006-09,45.83,135.29
2006-10,37.5,140.0
2006-11,41.67,147.06
2006-12,54.17,144.71
2007-01,62.5,140.0
2007-02,70.83,137.65
2007-03,70.83,140.0
2007-04,75.0,135.29
2007-05,91.67,128.24
2007-06,104.17,117.65
2007-07,108.33,117.65
2007-08,108.33,115.29
2007-09,112.5,110.59
2007-10,120.83,103.53
2007-11,125.0,100.0
2007-12,108.33,100.0
2008-01,100.0,100.0
2008-02,95.83,101.18
2008-03,100.0,97.65
2008-04,95.83,102.35
2008-05,83.33,105.88
2008-06,79.17,123.53
2008-07,75.0,120.0
2008-08,79.17,116.47
2008-09,79.17,128.24
2008-10,79.17,120.0
2008-11,75.0,114.12
2008-12,79.17,112.94
2009-01,87.5,111.76
2009-02,87.5,107.06
2009-03,95.83,120.0
2009-04,91.67,118.82
2009-05,100.0,117.65
2009-06,100.0,112.94
2009-07,100.0,114.12
2009-08,100.0,116.47
2009-09,104.17,115.29
2009-10,95.83,122.35
2009-11,95.83,121.18
2009-12,104.17,120.0
2010-01,112.5,122.35
2010-02,104.17,131.76
2010-03,100.0,128.24
2010-04,108.33,132.94
2010-05,104.17,137.65
2010-06,104.17,129.41
2010-07,104.17,127.06
2010-08,100.0,128.24
2010-09,108.33,130.59
2010-10,100.0,130.59
2010-11,100.0,132.94
2010-12,100.0,135.29
2011-01,87.5,137.65
2011-02,95.83,136.47
2011-03,100.0,127.06
2011-04,91.67,123.53
2011-05,91.67,132.94
2011-06,95.83,138.82
2011-07,104.17,143.53
2011-08,104.17,141.18
2011-09,91.67,137.65
2011-10,108.33,150.59
2011-11,104.17,152.94
2011-12,91.67,161.18
2012-01,91.67,155.29
2012-02,100.0,151.76
2012-03,108.33,162.35
2012-04,108.33,158.82
2012-05,104.17,149.41
2012-06,95.83,147.06
2012-07,91.67,149.41
2012-08,95.83,151.76
2012-09,112.5,145.88
2012-10,112.5,130.59
2012-11,120.83,132.94
2012-12,120.83,135.29
2013-01,129.17,157.65
2013-02,133.33,158.82
2013-03,116.67,168.24
2013-04,125.0,176.47
2013-05,141.67,174.12
2013-06,154.17,171.76
2013-07,162.5,170.59
2013-08,158.33,168.24
2013-09,154.17,171.76
2013-10,170.83,182.35
2013-11,179.17,180.0
2013-12,175.0,181.18
2014-01,170.83,164.71
2014-02,166.67,175.29
2014-03,187.5,164.71
2014-04,191.67,160.0
2014-05,187.5,156.47
2014-06,183.33,157.65
2014-07,179.17,155.29
2014-08,187.5,156.47
