Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,21
2006-01,21
2006-02,21
2006-03,16
2006-04,17
2006-05,15
2006-06,16
2006-07,13
2006-08,13
2006-09,11
2006-10,9
2006-11,10
2006-12,13
2007-01,15
2007-02,17
2007-03,17
2007-04,18
2007-05,22
2007-06,25
2007-07,26
2007-08,26
2007-09,27
2007-10,29
2007-11,30
2007-12,26
2008-01,24
2008-02,23
2008-03,24
2008-04,23
2008-05,20
2008-06,19
2008-07,18
2008-08,19
2008-09,19
2008-10,19
2008-11,18
2008-12,19
2009-01,21
2009-02,21
2009-03,23
2009-04,22
2009-05,24
2009-06,24
2009-07,24
2009-08,24
2009-09,25
2009-10,23
2009-11,23
2009-12,25
2010-01,27
2010-02,25
2010-03,24
2010-04,26
2010-05,25
2010-06,25
2010-07,25
2010-08,24
2010-09,26
2010-10,24
2010-11,24
2010-12,24
2011-01,21
2011-02,23
2011-03,24
2011-04,22
2011-05,22
2011-06,23
2011-07,25
2011-08,25
2011-09,22
2011-10,26
2011-11,25
2011-12,22
2012-01,22
2012-02,24
2012-03,26
2012-04,26
2012-05,25
2012-06,23
2012-07,22
2012-08,23
2012-09,27
2012-10,27
2012-11,29
2012-12,29
2013-01,31
2013-02,32
2013-03,28
2013-04,30
2013-05,34
2013-06,37
2013-07,39
2013-08,38
2013-09,37
2013-10,41
2013-11,43
2013-12,42
2014-01,41
2014-02,40
2014-03,45
2014-04,46
2014-05,45
2014-06,44
2014-07,43
2014-08,45
2014-09,45
2014-10,43
2014-11,39
2014-12,40
2015-01,41
2015-02,39
2015-03,36
2015-04,36
2015-05,36
2015-06,36
2015-07,36
2015-08,35
2015-09,34
2015-10,30
2015-11,30
2015-12,30
2016-01,30
2016-02,30
2016-03,26
2016-04,24
2016-05,24
2016-06,21
2016-07,19
2016-08,20
2016-09,20
2016-10,19
2016-11,20
2016-12,22
2017-01,19
2017-02,22
2017-03,26
2017-04,27
2017-05,25
2017-06,27
2017-07,30
2017-08,28
2017-09,29
2017-10,30
2017-11,30
2017-12,31
2018-01,33
2018-02,28
2018-03,29
2018-04,29
2018-05,29
2018-06,28
2018-07,26
2018-08,26
2018-09,24
2018-10,23
2018-11,22
2018-12,25
2019-01,25
2019-02,29
2019-03,25
2019-04,26
2019-05,27
2019-06,27
2019-07,28
2019-08,30
2019-09,34
2019-10,36
2019-11,36
2019-12,32
2020-01,31
2020-02,30
2020-03,29
2020-04,29
2020-05,28
2020-06,27
2020-07,27
2020-08,25
2020-09,20
2020-10,19
2020-11,20
2020-12,17
2021-01,19
2021-02,17
2021-03,20
2021-04,18
2021-05,16
2021-06,19
2021-07,19
2021-08,19
2021-09,19
2021-10,18
2021-11,17
2021-12,17
2022-01,17
2022-02,16
2022-03,18
2022-04,21
2022-05,22
2022-06,20
2022-07,18
2022-08,20
2022-09,24
2022-10,26
2022-11,27
2022-12,27
2023-01,26
2023-02,29
2023-03,26
2023-04,23
2023-05,23
2023-06,24
2023-07,25
2023-08,26
2023-09,23
2023-10,23
2023-11,23
2023-12,25
2024-01,23
2024-02,21
2024-03,22
2024-04,30
2024-05,29
2024-06,29
2024-07,28
2024-08,26
2024-09,25
2024-10,25
2024-11,25
2024-12,25
2025-01,28
2025-02,27
2025-03,28
2025-04,24
2025-05,25
2025-06,28
2025-07,30
2025-08,32
2025-09,36
