Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Luxemburg,2008,100.0,100.0
Luxemburg,2009,80.75,88.41
Luxemburg,2010,74.33,94.15
Luxemburg,2011,97.86,104.8
Luxemburg,2012,90.37,102.4
Luxemburg,2013,85.03,97.81
Luxemburg,2014,71.12,110.65
Luxemburg,2015,83.42,99.9
Luxemburg,2016,80.75,114.2
Luxemburg,2017,78.07,108.87
Luxemburg,2018,82.35,113.67
Luxemburg,2019,81.28,112.21
Luxemburg,2020,94.12,126.72
Luxemburg,2021,109.09,142.9
Luxemburg,2022,110.16,157.93
Luxemburg,2023,113.37,137.27
