Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,87.69,105.46
2006-01,95.38,107.14
2006-02,92.31,105.46
2006-03,95.38,109.66
2006-04,90.77,111.76
2006-05,93.85,107.56
2006-06,95.38,107.14
2006-07,95.38,110.5
2006-08,95.38,111.34
2006-09,98.46,104.62
2006-10,90.77,105.04
2006-11,98.46,111.34
2006-12,104.62,105.88
2007-01,100.0,103.36
2007-02,96.92,102.94
2007-03,100.0,104.2
2007-04,103.08,103.36
2007-05,110.77,112.61
2007-06,106.15,109.24
2007-07,100.0,104.62
2007-08,103.08,101.26
2007-09,103.08,105.04
2007-10,103.08,103.36
2007-11,95.38,97.9
2007-12,90.77,101.26
2008-01,100.0,100.0
2008-02,96.92,96.22
2008-03,92.31,92.02
2008-04,96.92,90.34
2008-05,90.77,90.34
2008-06,87.69,97.9
2008-07,93.85,103.36
2008-08,92.31,104.2
2008-09,93.85,106.3
2008-10,90.77,106.3
2008-11,90.77,103.36
2008-12,86.15,103.78
2009-01,80.0,109.24
2009-02,84.62,112.18
2009-03,90.77,119.33
2009-04,87.69,121.01
2009-05,83.08,115.55
2009-06,87.69,106.72
2009-07,87.69,107.98
2009-08,86.15,109.24
2009-09,86.15,111.76
2009-10,87.69,114.29
2009-11,90.77,116.81
2009-12,92.31,115.55
2010-01,89.23,110.92
2010-02,86.15,115.13
2010-03,81.54,111.76
2010-04,81.54,114.71
2010-05,90.77,113.03
2010-06,87.69,119.33
2010-07,90.77,123.95
2010-08,93.85,125.63
2010-09,90.77,124.37
2010-10,95.38,123.53
2010-11,100.0,123.53
2010-12,107.69,127.31
2011-01,110.77,127.31
2011-02,115.38,132.77
2011-03,127.69,135.29
2011-04,136.92,134.87
2011-05,133.85,138.66
2011-06,138.46,137.82
2011-07,133.85,128.57
2011-08,132.31,127.73
2011-09,138.46,135.29
2011-10,135.38,138.66
2011-11,132.31,144.12
2011-12,132.31,141.18
2012-01,127.69,142.86
2012-02,126.15,138.66
2012-03,130.77,138.24
2012-04,118.46,136.13
2012-05,116.92,139.08
2012-06,110.77,139.08
2012-07,113.85,140.76
2012-08,118.46,140.76
2012-09,121.54,133.19
2012-10,123.08,131.09
2012-11,121.54,127.73
2012-12,120.0,128.15
2013-01,127.69,132.77
2013-02,129.23,131.93
2013-03,121.54,126.47
2013-04,129.23,128.99
2013-05,135.38,122.27
2013-06,141.54,123.11
2013-07,136.92,124.37
2013-08,133.85,123.11
2013-09,130.77,123.53
2013-10,130.77,126.05
2013-11,138.46,126.05
2013-12,146.15,127.73
2014-01,150.77,134.87
2014-02,156.92,136.55
2014-03,155.38,139.08
2014-04,158.46,138.24
2014-05,158.46,140.76
2014-06,178.46,135.71
2014-07,176.92,132.77
2014-08,180.0,136.13
2014-09,187.69,138.24
2014-10,193.85,139.08
2014-11,190.77,141.18
2014-12,180.0,136.97
2015-01,178.46,126.05
2015-02,173.85,127.73
2015-03,170.77,131.51
2015-04,164.62,131.51
2015-05,169.23,132.77
2015-06,147.69,130.67
2015-07,150.77,133.19
2015-08,150.77,129.83
2015-09,147.69,127.73
2015-10,143.08,127.73
2015-11,140.0,123.11
2015-12,141.54,124.37
2016-01,129.23,121.85
2016-02,124.62,118.49
2016-03,130.77,115.13
2016-04,133.85,110.92
2016-05,123.08,114.29
2016-06,121.54,123.11
2016-07,121.54,120.17
2016-08,116.92,120.59
2016-09,115.38,117.65
2016-10,115.38,110.08
2016-11,118.46,108.4
2016-12,113.85,108.4
2017-01,118.46,107.56
2017-02,120.0,107.14
2017-03,118.46,111.34
2017-04,120.0,113.87
2017-05,121.54,109.24
2017-06,127.69,107.56
2017-07,124.62,110.08
2017-08,126.15,110.5
2017-09,127.69,113.87
2017-10,126.15,116.39
2017-11,123.08,120.17
2017-12,138.46,118.91
2018-01,147.69,123.95
2018-02,147.69,122.27
2018-03,141.54,114.71
2018-04,135.38,109.66
2018-05,129.23,109.24
2018-06,124.62,105.88
2018-07,127.69,105.46
2018-08,132.31,105.88
