Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,57
2006-01,62
2006-02,60
2006-03,62
2006-04,59
2006-05,61
2006-06,62
2006-07,62
2006-08,62
2006-09,64
2006-10,59
2006-11,64
2006-12,68
2007-01,65
2007-02,63
2007-03,65
2007-04,67
2007-05,72
2007-06,69
2007-07,65
2007-08,67
2007-09,67
2007-10,67
2007-11,62
2007-12,59
2008-01,65
2008-02,63
2008-03,60
2008-04,63
2008-05,59
2008-06,57
2008-07,61
2008-08,60
2008-09,61
2008-10,59
2008-11,59
2008-12,56
2009-01,52
2009-02,55
2009-03,59
2009-04,57
2009-05,54
2009-06,57
2009-07,57
2009-08,56
2009-09,56
2009-10,57
2009-11,59
2009-12,60
2010-01,58
2010-02,56
2010-03,53
2010-04,53
2010-05,59
2010-06,57
2010-07,59
2010-08,61
2010-09,59
2010-10,62
2010-11,65
2010-12,70
2011-01,72
2011-02,75
2011-03,83
2011-04,89
2011-05,87
2011-06,90
2011-07,87
2011-08,86
2011-09,90
2011-10,88
2011-11,86
2011-12,86
2012-01,83
2012-02,82
2012-03,85
2012-04,77
2012-05,76
2012-06,72
2012-07,74
2012-08,77
2012-09,79
2012-10,80
2012-11,79
2012-12,78
2013-01,83
2013-02,84
2013-03,79
2013-04,84
2013-05,88
2013-06,92
2013-07,89
2013-08,87
2013-09,85
2013-10,85
2013-11,90
2013-12,95
2014-01,98
2014-02,102
2014-03,101
2014-04,103
2014-05,103
2014-06,116
2014-07,115
2014-08,117
2014-09,122
2014-10,126
2014-11,124
2014-12,117
2015-01,116
2015-02,113
2015-03,111
2015-04,107
2015-05,110
2015-06,96
2015-07,98
2015-08,98
2015-09,96
2015-10,93
2015-11,91
2015-12,92
2016-01,84
2016-02,81
2016-03,85
2016-04,87
2016-05,80
2016-06,79
2016-07,79
2016-08,76
2016-09,75
2016-10,75
2016-11,77
2016-12,74
2017-01,77
2017-02,78
2017-03,77
2017-04,78
2017-05,79
2017-06,83
2017-07,81
2017-08,82
2017-09,83
2017-10,82
2017-11,80
2017-12,90
2018-01,96
2018-02,96
2018-03,92
2018-04,88
2018-05,84
2018-06,81
2018-07,83
2018-08,86
2018-09,80
2018-10,80
2018-11,81
2018-12,75
2019-01,70
2019-02,70
2019-03,74
2019-04,76
2019-05,78
2019-06,76
2019-07,80
2019-08,76
2019-09,77
2019-10,78
2019-11,74
2019-12,73
2020-01,71
2020-02,73
2020-03,72
2020-04,65
2020-05,61
2020-06,58
2020-07,53
2020-08,54
2020-09,54
2020-10,51
2020-11,51
2020-12,50
2021-01,54
2021-02,51
2021-03,44
2021-04,49
2021-05,56
2021-06,59
2021-07,64
2021-08,62
2021-09,60
2021-10,59
2021-11,62
2021-12,60
2022-01,51
2022-02,56
2022-03,64
2022-04,63
2022-05,62
2022-06,68
2022-07,64
2022-08,66
2022-09,70
2022-10,78
2022-11,76
2022-12,83
2023-01,93
2023-02,91
2023-03,87
2023-04,102
2023-05,99
2023-06,96
2023-07,95
2023-08,99
2023-09,98
2023-10,92
2023-11,100
2023-12,104
2024-01,104
2024-02,104
2024-03,106
2024-04,91
2024-05,97
2024-06,98
2024-07,101
2024-08,97
2024-09,106
2024-10,110
2024-11,103
2024-12,93
2025-01,90
2025-02,87
2025-03,95
2025-04,96
2025-05,92
2025-06,90
2025-07,89
2025-08,89
2025-09,86
