Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,106.77,101.36
2006-01,105.26,102.04
2006-02,94.74,101.22
2006-03,89.47,101.9
2006-04,90.23,102.31
2006-05,90.23,100.82
2006-06,86.47,100.68
2006-07,85.71,100.41
2006-08,81.95,101.09
2006-09,74.44,96.88
2006-10,73.68,97.01
2006-11,72.93,97.28
2006-12,79.7,95.79
2007-01,75.19,96.47
2007-02,82.71,97.28
2007-03,86.47,96.47
2007-04,88.72,94.84
2007-05,89.47,95.11
2007-06,94.74,95.38
2007-07,91.73,95.11
2007-08,91.73,95.92
2007-09,92.48,99.73
2007-10,89.47,101.09
2007-11,90.98,102.04
2007-12,96.24,101.77
2008-01,100.0,100.0
2008-02,98.5,100.41
2008-03,97.74,100.54
2008-04,99.25,102.45
2008-05,99.25,102.85
2008-06,101.5,107.2
2008-07,103.76,106.79
2008-08,105.26,106.11
2008-09,110.53,105.84
2008-10,118.8,107.34
2008-11,117.29,107.61
2008-12,112.78,109.38
2009-01,116.54,112.5
2009-02,124.06,112.23
2009-03,128.57,115.22
2009-04,125.56,116.17
2009-05,128.57,116.17
2009-06,127.07,112.91
2009-07,127.82,115.76
2009-08,130.83,116.71
2009-09,133.83,118.07
2009-10,128.57,119.57
2009-11,130.08,119.16
2009-12,130.08,119.29
2010-01,133.08,117.66
2010-02,121.8,120.11
2010-03,121.8,121.88
2010-04,124.06,124.32
2010-05,127.07,127.04
2010-06,132.33,126.63
2010-07,135.34,124.05
2010-08,134.59,123.91
2010-09,136.84,121.88
2010-10,136.84,116.85
2010-11,140.6,116.44
2010-12,147.37,116.85
2011-01,148.12,112.64
2011-02,148.87,110.46
2011-03,149.62,109.65
2011-04,153.38,105.98
2011-05,148.87,103.53
2011-06,140.6,104.08
2011-07,138.35,104.08
2011-08,139.1,104.08
2011-09,137.59,107.47
2011-10,143.61,110.87
2011-11,143.61,110.87
2011-12,142.11,112.77
2012-01,139.1,113.99
2012-02,146.62,115.49
2012-03,150.38,114.27
2012-04,154.14,117.12
2012-05,156.39,119.57
2012-06,168.42,120.38
2012-07,168.42,122.28
2012-08,169.17,122.96
2012-09,174.44,121.2
2012-10,177.44,121.88
2012-11,183.46,123.78
2012-12,190.98,123.23
2013-01,193.98,129.62
2013-02,196.99,129.89
2013-03,194.74,128.4
2013-04,195.49,127.45
2013-05,200.75,126.36
2013-06,192.48,125.41
2013-07,196.24,125.27
2013-08,195.49,126.63
2013-09,205.26,130.57
2013-10,210.53,130.71
2013-11,209.02,129.35
2013-12,203.01,130.98
2014-01,207.52,127.04
2014-02,202.26,125.82
2014-03,202.26,125.41
2014-04,196.24,125.14
2014-05,200.75,126.63
2014-06,202.26,125.95
2014-07,197.74,125.68
2014-08,198.5,121.33
2014-09,188.72,118.75
2014-10,180.45,115.08
2014-11,172.18,111.14
2014-12,169.17,105.98
2015-01,160.9,104.62
2015-02,163.91,102.99
2015-03,157.89,100.95
2015-04,160.15,101.63
2015-05,152.63,97.01
2015-06,156.39,97.69
2015-07,156.39,98.37
2015-08,155.64,99.32
2015-09,155.64,95.11
2015-10,156.39,94.97
2015-11,156.39,97.55
2015-12,159.4,98.64
2016-01,160.15,98.91
2016-02,155.64,100.95
2016-03,157.14,101.22
2016-04,159.4,100.0
2016-05,157.14,103.67
2016-06,157.89,103.26
2016-07,163.16,102.04
2016-08,161.65,104.35
2016-09,162.41,105.84
2016-10,157.14,111.82
2016-11,163.91,113.99
2016-12,166.92,114.81
2017-01,164.66,120.92
2017-02,173.68,121.33
2017-03,175.94,124.46
2017-04,174.44,124.73
2017-05,180.45,126.09
2017-06,178.2,129.62
2017-07,173.68,128.67
2017-08,173.68,124.46
2017-09,169.17,125.41
2017-10,169.17,123.23
2017-11,169.92,122.15
2017-12,163.16,121.6
2018-01,168.42,116.98
2018-02,160.9,113.99
2018-03,155.64,110.87
2018-04,158.65,111.01
2018-05,154.14,105.84
2018-06,145.11,103.12
2018-07,145.11,105.84
2018-08,143.61,108.02
2018-09,143.61,106.52
2018-10,144.36,105.16
2018-11,139.85,104.76
2018-12,132.33,106.39
2019-01,130.08,105.71
2019-02,130.08,109.78
2019-03,128.57,112.36
2019-04,123.31,113.18
2019-05,121.8,115.35
2019-06,127.07,113.86
2019-07,129.32,114.27
2019-08,127.82,113.04
2019-09,130.83,113.45
2019-10,127.82,114.13
2019-11,134.59,115.35
2019-12,148.87,115.08
2020-01,147.37,115.49
2020-02,146.62,112.64
2020-03,155.64,113.18
2020-04,148.12,105.71
2020-05,140.6,100.68
2020-06,148.12,100.68
2020-07,148.87,98.1
2020-08,148.87,98.78
2020-09,142.11,95.65
2020-10,142.86,90.62
2020-11,136.09,87.23
2020-12,124.06,84.38
2021-01,116.54,81.25
2021-02,120.3,79.21
2021-03,117.29,74.59
2021-04,122.56,76.63
2021-05,127.07,78.67
2021-06,119.55,76.9
2021-07,115.04,76.49
2021-08,117.29,74.73
2021-09,126.32,74.32
2021-10,133.83,74.46
2021-11,137.59,73.64
2021-12,145.86,74.05
2022-01,148.12,73.78
2022-02,154.14,76.36
2022-03,154.89,82.34
2022-04,155.64,86.28
2022-05,161.65,89.81
2022-06,171.43,94.57
2022-07,181.2,99.18
2022-08,182.71,100.82
2022-09,184.96,103.67
2022-10,188.72,109.38
2022-11,190.98,115.9
2022-12,193.98,117.53
2023-01,206.77,121.33
2023-02,206.77,123.64
2023-03,212.03,122.96
2023-04,216.54,124.18
2023-05,233.08,126.63
2023-06,237.59,127.31
2023-07,240.6,127.45
2023-08,241.35,127.45
2023-09,251.13,127.45
2023-10,251.13,127.04
2023-11,244.36,123.23
2023-12,251.13,126.49
2024-01,251.88,128.8
2024-02,263.16,129.08
2024-03,264.66,129.08
2024-04,274.44,130.71
2024-05,278.2,128.26
2024-06,281.2,127.99
2024-07,287.22,125.68
2024-08,288.72,127.04
2024-09,281.2,127.17
2024-10,284.96,124.32
