Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,142
2006-01,140
2006-02,126
2006-03,119
2006-04,120
2006-05,120
2006-06,115
2006-07,114
2006-08,109
2006-09,99
2006-10,98
2006-11,97
2006-12,106
2007-01,100
2007-02,110
2007-03,115
2007-04,118
2007-05,119
2007-06,126
2007-07,122
2007-08,122
2007-09,123
2007-10,119
2007-11,121
2007-12,128
2008-01,133
2008-02,131
2008-03,130
2008-04,132
2008-05,132
2008-06,135
2008-07,138
2008-08,140
2008-09,147
2008-10,158
2008-11,156
2008-12,150
2009-01,155
2009-02,165
2009-03,171
2009-04,167
2009-05,171
2009-06,169
2009-07,170
2009-08,174
2009-09,178
2009-10,171
2009-11,173
2009-12,173
2010-01,177
2010-02,162
2010-03,162
2010-04,165
2010-05,169
2010-06,176
2010-07,180
2010-08,179
2010-09,182
2010-10,182
2010-11,187
2010-12,196
2011-01,197
2011-02,198
2011-03,199
2011-04,204
2011-05,198
2011-06,187
2011-07,184
2011-08,185
2011-09,183
2011-10,191
2011-11,191
2011-12,189
2012-01,185
2012-02,195
2012-03,200
2012-04,205
2012-05,208
2012-06,224
2012-07,224
2012-08,225
2012-09,232
2012-10,236
2012-11,244
2012-12,254
2013-01,258
2013-02,262
2013-03,259
2013-04,260
2013-05,267
2013-06,256
2013-07,261
2013-08,260
2013-09,273
2013-10,280
2013-11,278
2013-12,270
2014-01,276
2014-02,269
2014-03,269
2014-04,261
2014-05,267
2014-06,269
2014-07,263
2014-08,264
2014-09,251
2014-10,240
2014-11,229
2014-12,225
2015-01,214
2015-02,218
2015-03,210
2015-04,213
2015-05,203
2015-06,208
2015-07,208
2015-08,207
2015-09,207
2015-10,208
2015-11,208
2015-12,212
2016-01,213
2016-02,207
2016-03,209
2016-04,212
2016-05,209
2016-06,210
2016-07,217
2016-08,215
2016-09,216
2016-10,209
2016-11,218
2016-12,222
2017-01,219
2017-02,231
2017-03,234
2017-04,232
2017-05,240
2017-06,237
2017-07,231
2017-08,231
2017-09,225
2017-10,225
2017-11,226
2017-12,217
2018-01,224
2018-02,214
2018-03,207
2018-04,211
2018-05,205
2018-06,193
2018-07,193
2018-08,191
2018-09,191
2018-10,192
2018-11,186
2018-12,176
2019-01,173
2019-02,173
2019-03,171
2019-04,164
2019-05,162
2019-06,169
2019-07,172
2019-08,170
2019-09,174
2019-10,170
2019-11,179
2019-12,198
2020-01,196
2020-02,195
2020-03,207
2020-04,197
2020-05,187
2020-06,197
2020-07,198
2020-08,198
2020-09,189
2020-10,190
2020-11,181
2020-12,165
2021-01,155
2021-02,160
2021-03,156
2021-04,163
2021-05,169
2021-06,159
2021-07,153
2021-08,156
2021-09,168
2021-10,178
2021-11,183
2021-12,194
2022-01,197
2022-02,205
2022-03,206
2022-04,207
2022-05,215
2022-06,228
2022-07,241
2022-08,243
2022-09,246
2022-10,251
2022-11,254
2022-12,258
2023-01,275
2023-02,275
2023-03,282
2023-04,288
2023-05,310
2023-06,316
2023-07,320
2023-08,321
2023-09,334
2023-10,334
2023-11,325
2023-12,334
2024-01,335
2024-02,350
2024-03,352
2024-04,365
2024-05,370
2024-06,374
2024-07,382
2024-08,384
2024-09,374
2024-10,379
2024-11,395
2024-12,384
2025-01,384
2025-02,380
2025-03,399
2025-04,398
2025-05,400
2025-06,409
2025-07,409
2025-08,409
2025-09,429
2025-10,425
