Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Oost-Vlaanderen,2008,100.0,100.0
Oost-Vlaanderen,2009,88.92,92.0
Oost-Vlaanderen,2010,98.94,96.1
Oost-Vlaanderen,2011,102.89,99.97
Oost-Vlaanderen,2012,93.64,100.79
Oost-Vlaanderen,2013,86.9,93.32
Oost-Vlaanderen,2014,95.38,132.68
Oost-Vlaanderen,2015,96.82,112.54
Oost-Vlaanderen,2016,102.41,137.55
Oost-Vlaanderen,2017,106.17,136.41
Oost-Vlaanderen,2018,121.0,150.39
Oost-Vlaanderen,2019,174.66,160.22
Oost-Vlaanderen,2020,200.77,165.56
Oost-Vlaanderen,2021,220.71,182.89
Oost-Vlaanderen,2022,192.49,208.09
Oost-Vlaanderen,2023,206.94,183.86
