Gewest,Jaar,Bouwsector (%),Niet-bouwsector (%)
Vlaams Gewest,2009,94.72,91.11
Vlaams Gewest,2010,94.6,90.77
Vlaams Gewest,2011,94.74,91.52
Vlaams Gewest,2012,94.66,91.96
Vlaams Gewest,2013,94.28,91.07
Vlaams Gewest,2014,93.12,89.68
Vlaams Gewest,2015,94.07,91.24
Vlaams Gewest,2016,94.11,90.56
Vlaams Gewest,2017,93.8,91.83
Vlaams Gewest,2018,93.59,90.39
Vlaams Gewest,2019,93.15,89.9
Vlaams Gewest,2020,91.37,90.43
Vlaams Gewest,2021,91.15,90.27
Vlaams Gewest,2022,90.22,88.57
Vlaams Gewest,2023,89.25,90.22
Vlaams Gewest,2024,88.06,88.93
Waals Gewest,2009,92.89,87.15
Waals Gewest,2010,93.01,86.69
Waals Gewest,2011,93.11,86.86
Waals Gewest,2012,93.78,87.86
Waals Gewest,2013,92.24,87.37
Waals Gewest,2014,92.13,86.07
Waals Gewest,2015,91.74,88.99
Waals Gewest,2016,91.03,88.88
Waals Gewest,2017,91.8,90.71
Waals Gewest,2018,93.28,88.83
Waals Gewest,2019,92.47,88.98
Waals Gewest,2020,93.09,91.03
Waals Gewest,2021,93.59,91.77
Waals Gewest,2022,94.36,89.76
Waals Gewest,2023,93.21,90.65
Waals Gewest,2024,94.39,89.79
Brussels Gewest,2009,93.94,88.94
Brussels Gewest,2010,94.44,88.72
Brussels Gewest,2011,93.26,88.79
Brussels Gewest,2012,93.72,89.62
Brussels Gewest,2013,91.08,88.8
Brussels Gewest,2014,90.81,87.95
Brussels Gewest,2015,90.11,89.19
Brussels Gewest,2016,91.61,88.54
Brussels Gewest,2017,91.04,90.15
Brussels Gewest,2018,89.45,89.11
Brussels Gewest,2019,90.59,88.67
Brussels Gewest,2020,92.93,90.73
Brussels Gewest,2021,91.97,90.84
Brussels Gewest,2022,91.3,89.79
Brussels Gewest,2023,90.59,89.63
Brussels Gewest,2024,91.98,89.32
