Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,72
2006-01,71
2006-02,65
2006-03,62
2006-04,64
2006-05,60
2006-06,52
2006-07,51
2006-08,55
2006-09,54
2006-10,53
2006-11,56
2006-12,57
2007-01,56
2007-02,56
2007-03,54
2007-04,56
2007-05,62
2007-06,63
2007-07,61
2007-08,62
2007-09,65
2007-10,63
2007-11,63
2007-12,58
2008-01,57
2008-02,61
2008-03,62
2008-04,63
2008-05,58
2008-06,56
2008-07,63
2008-08,58
2008-09,61
2008-10,66
2008-11,65
2008-12,68
2009-01,72
2009-02,72
2009-03,78
2009-04,78
2009-05,86
2009-06,97
2009-07,93
2009-08,97
2009-09,97
2009-10,102
2009-11,110
2009-12,107
2010-01,108
2010-02,106
2010-03,105
2010-04,102
2010-05,92
2010-06,85
2010-07,86
2010-08,90
2010-09,88
2010-10,87
2010-11,80
2010-12,85
2011-01,80
2011-02,82
2011-03,78
2011-04,76
2011-05,84
2011-06,92
2011-07,93
2011-08,89
2011-09,91
2011-10,89
2011-11,88
2011-12,84
2012-01,92
2012-02,92
2012-03,93
2012-04,106
2012-05,104
2012-06,100
2012-07,101
2012-08,106
2012-09,104
2012-10,104
2012-11,110
2012-12,115
2013-01,120
2013-02,120
2013-03,121
2013-04,114
2013-05,112
2013-06,109
2013-07,110
2013-08,109
2013-09,111
2013-10,113
2013-11,112
2013-12,111
2014-01,102
2014-02,100
2014-03,99
2014-04,100
2014-05,97
2014-06,100
2014-07,100
2014-08,95
2014-09,99
2014-10,94
2014-11,95
2014-12,94
2015-01,98
2015-02,100
2015-03,98
2015-04,99
2015-05,103
2015-06,106
2015-07,105
2015-08,105
2015-09,101
2015-10,103
2015-11,102
2015-12,99
2016-01,94
2016-02,95
2016-03,98
2016-04,98
2016-05,96
2016-06,89
2016-07,89
2016-08,90
2016-09,93
2016-10,91
2016-11,88
2016-12,88
2017-01,92
2017-02,90
2017-03,94
2017-04,90
2017-05,92
2017-06,95
2017-07,93
2017-08,93
2017-09,89
2017-10,98
2017-11,98
2017-12,99
2018-01,100
2018-02,99
2018-03,93
2018-04,94
2018-05,100
2018-06,102
2018-07,103
2018-08,107
2018-09,108
2018-10,103
2018-11,107
2018-12,112
2019-01,112
2019-02,114
2019-03,118
2019-04,125
2019-05,118
2019-06,116
2019-07,113
2019-08,109
2019-09,112
2019-10,114
2019-11,111
2019-12,108
2020-01,107
2020-02,107
2020-03,106
2020-04,95
2020-05,97
2020-06,95
2020-07,96
2020-08,94
2020-09,95
2020-10,97
2020-11,102
2020-12,101
2021-01,103
2021-02,100
2021-03,100
2021-04,105
2021-05,104
2021-06,111
2021-07,115
2021-08,118
2021-09,118
2021-10,114
2021-11,113
2021-12,121
2022-01,121
2022-02,124
2022-03,130
2022-04,130
2022-05,146
2022-06,145
2022-07,141
2022-08,143
2022-09,148
2022-10,152
2022-11,156
2022-12,164
2023-01,175
2023-02,193
2023-03,195
2023-04,203
2023-05,201
2023-06,228
2023-07,241
2023-08,241
2023-09,258
2023-10,266
2023-11,285
2023-12,307
2024-01,317
2024-02,322
2024-03,334
2024-04,349
2024-05,366
2024-06,356
2024-07,371
2024-08,394
2024-09,393
2024-10,402
2024-11,402
2024-12,401
2025-01,408
2025-02,417
2025-03,417
2025-04,424
2025-05,439
2025-06,476
2025-07,471
2025-08,462
2025-09,466
