Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Vlaams-Brabant,2008,100.0,100.0
Vlaams-Brabant,2009,96.26,95.12
Vlaams-Brabant,2010,90.41,104.07
Vlaams-Brabant,2011,93.01,108.71
Vlaams-Brabant,2012,88.62,106.17
Vlaams-Brabant,2013,95.93,98.46
Vlaams-Brabant,2014,100.65,148.16
Vlaams-Brabant,2015,109.59,121.64
Vlaams-Brabant,2016,117.56,144.94
Vlaams-Brabant,2017,110.08,150.11
Vlaams-Brabant,2018,147.48,159.95
Vlaams-Brabant,2019,272.68,180.68
Vlaams-Brabant,2020,341.3,183.05
Vlaams-Brabant,2021,407.64,204.75
Vlaams-Brabant,2022,413.66,243.82
Vlaams-Brabant,2023,430.57,214.24
