Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,130.77,134.05
2006-01,146.15,133.62
2006-02,138.46,133.62
2006-03,120.51,131.03
2006-04,102.56,125.43
2006-05,105.13,119.83
2006-06,107.69,118.53
2006-07,102.56,119.4
2006-08,102.56,118.53
2006-09,123.08,110.78
2006-10,135.9,106.47
2006-11,130.77,100.0
2006-12,135.9,96.12
2007-01,123.08,96.55
2007-02,133.33,94.83
2007-03,135.9,91.81
2007-04,130.77,101.72
2007-05,117.95,98.28
2007-06,117.95,98.71
2007-07,117.95,94.83
2007-08,123.08,98.28
2007-09,107.69,102.16
2007-10,100.0,104.74
2007-11,102.56,103.45
2007-12,97.44,104.31
2008-01,100.0,100.0
2008-02,84.62,97.41
2008-03,92.31,104.74
2008-04,89.74,97.41
2008-05,92.31,100.43
2008-06,107.69,103.45
2008-07,112.82,103.02
2008-08,112.82,102.16
2008-09,128.21,100.0
2008-10,128.21,101.29
2008-11,128.21,108.62
2008-12,146.15,115.09
2009-01,143.59,113.79
2009-02,151.28,121.12
2009-03,153.85,122.84
2009-04,164.1,126.29
2009-05,161.54,130.6
2009-06,146.15,128.02
2009-07,148.72,132.76
2009-08,148.72,132.76
2009-09,151.28,139.66
2009-10,146.15,137.5
2009-11,143.59,133.19
2009-12,133.33,127.59
2010-01,130.77,134.48
2010-02,128.21,130.17
2010-03,133.33,128.45
2010-04,138.46,125.86
2010-05,146.15,125.86
2010-06,151.28,124.57
2010-07,151.28,122.84
2010-08,151.28,123.28
2010-09,148.72,119.4
2010-10,153.85,118.97
2010-11,156.41,119.4
2010-12,156.41,122.84
2011-01,166.67,123.28
2011-02,169.23,124.14
2011-03,161.54,120.69
2011-04,161.54,123.28
2011-05,164.1,126.29
2011-06,164.1,122.84
2011-07,166.67,123.28
2011-08,164.1,121.55
2011-09,146.15,127.59
2011-10,151.28,130.6
2011-11,161.54,131.47
2011-12,158.97,126.72
2012-01,153.85,131.47
2012-02,146.15,131.03
2012-03,138.46,135.34
2012-04,148.72,137.5
2012-05,138.46,130.17
2012-06,146.15,137.93
2012-07,148.72,137.07
2012-08,148.72,139.66
2012-09,153.85,133.19
2012-10,161.54,141.81
2012-11,151.28,143.53
2012-12,156.41,149.57
2013-01,164.1,146.12
2013-02,174.36,151.29
2013-03,182.05,156.9
2013-04,164.1,159.48
2013-05,164.1,157.76
2013-06,169.23,152.16
2013-07,164.1,157.76
2013-08,171.79,159.05
2013-09,182.05,165.09
2013-10,169.23,161.21
2013-11,179.49,162.93
2013-12,182.05,165.52
2014-01,161.54,163.79
2014-02,158.97,159.05
2014-03,182.05,157.76
2014-04,182.05,153.45
2014-05,182.05,159.48
2014-06,189.74,163.79
2014-07,192.31,158.19
2014-08,189.74,158.19
2014-09,176.92,158.62
2014-10,187.18,152.16
2014-11,182.05,149.57
2014-12,176.92,145.69
2015-01,205.13,150.43
2015-02,207.69,153.02
2015-03,184.62,153.02
2015-04,187.18,151.72
2015-05,179.49,147.41
2015-06,156.41,150.43
2015-07,151.28,151.72
2015-08,153.85,149.57
2015-09,158.97,141.38
2015-10,151.28,140.95
2015-11,151.28,139.22
2015-12,146.15,135.78
2016-01,141.03,126.29
2016-02,138.46,121.12
2016-03,135.9,109.48
2016-04,138.46,112.5
2016-05,153.85,111.64
2016-06,151.28,103.88
2016-07,166.67,104.74
2016-08,156.41,106.47
2016-09,148.72,112.5
2016-10,151.28,119.83
2016-11,146.15,118.1
2016-12,143.59,116.81
2017-01,135.9,117.24
2017-02,133.33,125.43
2017-03,135.9,128.88
2017-04,130.77,128.88
2017-05,125.64,134.91
2017-06,135.9,136.64
2017-07,123.08,135.78
2017-08,133.33,133.62
2017-09,151.28,132.76
2017-10,148.72,129.74
2017-11,161.54,132.76
2017-12,164.1,132.33
2018-01,171.79,140.09
2018-02,176.92,136.21
2018-03,176.92,140.52
2018-04,184.62,137.5
2018-05,187.18,128.45
2018-06,184.62,130.17
2018-07,192.31,128.02
2018-08,189.74,129.31
2018-09,176.92,127.59
2018-10,179.49,124.57
2018-11,169.23,125.43
2018-12,176.92,129.31
2019-01,176.92,126.72
2019-02,187.18,126.29
2019-03,187.18,124.14
2019-04,189.74,129.74
2019-05,184.62,138.36
2019-06,187.18,134.91
2019-07,182.05,139.66
2019-08,194.87,141.81
2019-09,200.0,141.81
2019-10,197.44,142.24
2019-11,200.0,136.64
2019-12,207.69,136.64
2020-01,210.26,141.38
2020-02,189.74,144.83
2020-03,187.18,145.69
2020-04,174.36,136.21
2020-05,166.67,125.43
2020-06,151.28,122.84
2020-07,158.97,121.12
2020-08,141.03,119.4
2020-09,138.46,119.83
2020-10,135.9,120.26
2020-11,125.64,121.55
2020-12,115.38,117.67
2021-01,110.26,109.91
2021-02,110.26,99.57
2021-03,120.51,99.57
2021-04,117.95,103.88
2021-05,130.77,111.64
2021-06,141.03,111.21
2021-07,128.21,110.34
2021-08,130.77,109.05
2021-09,135.9,107.76
2021-10,135.9,106.03
2021-11,135.9,108.62
2021-12,128.21,112.07
2022-01,130.77,113.36
2022-02,135.9,118.97
2022-03,120.51,114.22
2022-04,128.21,120.69
2022-05,130.77,121.55
2022-06,133.33,125.43
2022-07,138.46,126.72
2022-08,133.33,123.71
2022-09,138.46,121.12
2022-10,135.9,121.55
2022-11,141.03,124.14
2022-12,146.15,121.12
2023-01,138.46,123.71
2023-02,148.72,125.0
2023-03,161.54,126.72
2023-04,164.1,123.28
2023-05,161.54,120.69
2023-06,148.72,125.86
2023-07,156.41,125.0
2023-08,164.1,127.59
2023-09,151.28,128.45
2023-10,151.28,127.16
2023-11,153.85,128.02
2023-12,153.85,128.45
2024-01,151.28,124.57
2024-02,135.9,128.45
2024-03,130.77,133.62
2024-04,138.46,137.5
2024-05,143.59,137.07
2024-06,161.54,138.36
2024-07,151.28,139.22
2024-08,153.85,138.36
2024-09,202.56,152.16
2024-10,200.0,163.79
2024-11,205.13,166.81
2024-12,212.82,169.83
2025-01,223.08,176.29
2025-02,235.9,174.14
2025-03,246.15,171.55
2025-04,243.59,175.43
2025-05,230.77,180.17
2025-06,210.26,178.45
2025-07,205.13,175.0
2025-08,205.13,176.29
2025-09,179.49,164.22
