Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,51
2006-01,57
2006-02,54
2006-03,47
2006-04,40
2006-05,41
2006-06,42
2006-07,40
2006-08,40
2006-09,48
2006-10,53
2006-11,51
2006-12,53
2007-01,48
2007-02,52
2007-03,53
2007-04,51
2007-05,46
2007-06,46
2007-07,46
2007-08,48
2007-09,42
2007-10,39
2007-11,40
2007-12,38
2008-01,39
2008-02,33
2008-03,36
2008-04,35
2008-05,36
2008-06,42
2008-07,44
2008-08,44
2008-09,50
2008-10,50
2008-11,50
2008-12,57
2009-01,56
2009-02,59
2009-03,60
2009-04,64
2009-05,63
2009-06,57
2009-07,58
2009-08,58
2009-09,59
2009-10,57
2009-11,56
2009-12,52
2010-01,51
2010-02,50
2010-03,52
2010-04,54
2010-05,57
2010-06,59
2010-07,59
2010-08,59
2010-09,58
2010-10,60
2010-11,61
2010-12,61
2011-01,65
2011-02,66
2011-03,63
2011-04,63
2011-05,64
2011-06,64
2011-07,65
2011-08,64
2011-09,57
2011-10,59
2011-11,63
2011-12,62
2012-01,60
2012-02,57
2012-03,54
2012-04,58
2012-05,54
2012-06,57
2012-07,58
2012-08,58
2012-09,60
2012-10,63
2012-11,59
2012-12,61
2013-01,64
2013-02,68
2013-03,71
2013-04,64
2013-05,64
2013-06,66
2013-07,64
2013-08,67
2013-09,71
2013-10,66
2013-11,70
2013-12,71
2014-01,63
2014-02,62
2014-03,71
2014-04,71
2014-05,71
2014-06,74
2014-07,75
2014-08,74
2014-09,69
2014-10,73
2014-11,71
2014-12,69
2015-01,80
2015-02,81
2015-03,72
2015-04,73
2015-05,70
2015-06,61
2015-07,59
2015-08,60
2015-09,62
2015-10,59
2015-11,59
2015-12,57
2016-01,55
2016-02,54
2016-03,53
2016-04,54
2016-05,60
2016-06,59
2016-07,65
2016-08,61
2016-09,58
2016-10,59
2016-11,57
2016-12,56
2017-01,53
2017-02,52
2017-03,53
2017-04,51
2017-05,49
2017-06,53
2017-07,48
2017-08,52
2017-09,59
2017-10,58
2017-11,63
2017-12,64
2018-01,67
2018-02,69
2018-03,69
2018-04,72
2018-05,73
2018-06,72
2018-07,75
2018-08,74
2018-09,69
2018-10,70
2018-11,66
2018-12,69
2019-01,69
2019-02,73
2019-03,73
2019-04,74
2019-05,72
2019-06,73
2019-07,71
2019-08,76
2019-09,78
2019-10,77
2019-11,78
2019-12,81
2020-01,82
2020-02,74
2020-03,73
2020-04,68
2020-05,65
2020-06,59
2020-07,62
2020-08,55
2020-09,54
2020-10,53
2020-11,49
2020-12,45
2021-01,43
2021-02,43
2021-03,47
2021-04,46
2021-05,51
2021-06,55
2021-07,50
2021-08,51
2021-09,53
2021-10,53
2021-11,53
2021-12,50
2022-01,51
2022-02,53
2022-03,47
2022-04,50
2022-05,51
2022-06,52
2022-07,54
2022-08,52
2022-09,54
2022-10,53
2022-11,55
2022-12,57
2023-01,54
2023-02,58
2023-03,63
2023-04,64
2023-05,63
2023-06,58
2023-07,61
2023-08,64
2023-09,59
2023-10,59
2023-11,60
2023-12,60
2024-01,59
2024-02,53
2024-03,51
2024-04,54
2024-05,56
2024-06,63
2024-07,59
2024-08,60
2024-09,79
2024-10,78
2024-11,80
2024-12,83
2025-01,87
2025-02,92
2025-03,96
2025-04,95
2025-05,90
2025-06,82
2025-07,80
2025-08,80
2025-09,70
2025-10,74
