Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Waals-Brabant,2008,100.0,100.0
Waals-Brabant,2009,95.35,88.88
Waals-Brabant,2010,93.41,99.16
Waals-Brabant,2011,112.79,106.11
Waals-Brabant,2012,112.4,105.0
Waals-Brabant,2013,103.49,96.59
Waals-Brabant,2014,112.4,136.67
Waals-Brabant,2015,118.22,119.53
Waals-Brabant,2016,129.07,136.8
Waals-Brabant,2017,138.76,138.13
Waals-Brabant,2018,110.47,140.43
Waals-Brabant,2019,122.09,142.25
Waals-Brabant,2020,124.42,132.11
Waals-Brabant,2021,135.27,152.35
Waals-Brabant,2022,118.99,171.39
Waals-Brabant,2023,116.67,146.01
