Jaar-Maand,Bouwsector (index),Niet-bouwsector (index)
2005-12,115.22,108.18
2006-01,115.22,105.45
2006-02,114.13,106.91
2006-03,120.65,105.27
2006-04,117.39,102.36
2006-05,120.65,103.27
2006-06,116.3,100.55
2006-07,111.96,100.0
2006-08,108.7,98.18
2006-09,109.78,98.0
2006-10,104.35,97.27
2006-11,106.52,99.82
2006-12,97.83,97.82
2007-01,104.35,98.91
2007-02,106.52,99.09
2007-03,107.61,100.36
2007-04,110.87,103.27
2007-05,103.26,102.73
2007-06,103.26,101.27
2007-07,105.43,101.82
2007-08,106.52,102.36
2007-09,98.91,101.45
2007-10,102.17,102.91
2007-11,102.17,98.91
2007-12,102.17,99.82
2008-01,100.0,100.0
2008-02,98.91,98.18
2008-03,94.57,96.0
2008-04,98.91,95.82
2008-05,102.17,94.18
2008-06,108.7,97.64
2008-07,108.7,100.55
2008-08,103.26,103.45
2008-09,110.87,103.27
2008-10,113.04,103.64
2008-11,116.3,105.27
2008-12,120.65,110.73
2009-01,121.74,112.18
2009-02,122.83,117.82
2009-03,127.17,121.64
2009-04,119.57,123.82
2009-05,115.22,130.18
2009-06,114.13,127.64
2009-07,115.22,127.09
2009-08,120.65,124.0
2009-09,116.3,127.45
2009-10,123.91,131.27
2009-11,120.65,136.18
2009-12,122.83,135.64
2010-01,117.39,134.55
2010-02,126.09,131.45
2010-03,127.17,130.73
2010-04,135.87,129.82
2010-05,148.91,125.27
2010-06,148.91,127.45
2010-07,144.57,128.18
2010-08,144.57,128.55
2010-09,144.57,125.64
2010-10,129.35,123.64
2010-11,125.0,119.82
2010-12,125.0,118.91
2011-01,126.09,118.55
2011-02,114.13,122.55
2011-03,115.22,124.18
2011-04,107.61,121.82
2011-05,103.26,122.18
2011-06,100.0,117.09
2011-07,104.35,117.82
2011-08,105.43,118.0
2011-09,103.26,122.36
2011-10,109.78,121.27
2011-11,111.96,123.27
2011-12,109.78,123.82
2012-01,104.35,122.55
2012-02,114.13,119.09
2012-03,114.13,117.82
2012-04,127.17,120.91
2012-05,128.26,119.45
2012-06,132.61,122.36
2012-07,134.78,120.36
2012-08,135.87,122.18
2012-09,138.04,121.82
2012-10,145.65,124.36
2012-11,155.43,124.91
2012-12,157.61,126.91
2013-01,161.96,132.73
2013-02,161.96,130.73
2013-03,169.57,131.82
2013-04,171.74,134.55
2013-05,172.83,138.0
2013-06,173.91,139.09
2013-07,173.91,141.64
2013-08,177.17,140.18
2013-09,194.57,140.73
2013-10,194.57,140.91
2013-11,191.3,142.55
2013-12,196.74,140.55
2014-01,206.52,139.64
2014-02,208.7,138.36
2014-03,201.09,137.45
2014-04,198.91,137.09
2014-05,193.48,135.82
2014-06,201.09,135.82
2014-07,206.52,134.91
2014-08,205.43,137.45
2014-09,197.83,135.45
2014-10,205.43,136.91
2014-11,209.78,135.09
2014-12,205.43,136.91
2015-01,202.17,132.0
2015-02,193.48,133.64
2015-03,193.48,134.18
2015-04,191.3,130.36
2015-05,193.48,128.0
2015-06,189.13,125.45
2015-07,182.61,123.64
2015-08,185.87,120.36
2015-09,182.61,121.45
2015-10,167.39,114.73
2015-11,160.87,116.0
2015-12,158.7,110.73
2016-01,151.09,112.91
2016-02,154.35,112.73
2016-03,154.35,110.73
2016-04,150.0,111.45
2016-05,146.74,111.27
2016-06,144.57,113.64
2016-07,144.57,113.45
2016-08,135.87,115.09
2016-09,136.96,113.45
2016-10,138.04,115.09
2016-11,139.13,111.82
2016-12,135.87,110.36
2017-01,145.65,108.55
2017-02,141.3,108.0
2017-03,142.39,109.82
2017-04,138.04,107.45
2017-05,133.7,107.27
2017-06,134.78,107.64
2017-07,136.96,107.45
2017-08,141.3,104.36
2017-09,135.87,105.82
2017-10,132.61,107.09
2017-11,134.78,106.91
2017-12,132.61,108.73
2018-01,135.87,110.91
2018-02,138.04,113.09
2018-03,138.04,110.73
2018-04,144.57,111.45
2018-05,142.39,108.36
2018-06,138.04,104.73
2018-07,131.52,106.55
2018-08,131.52,109.09
2018-09,133.7,108.0
2018-10,139.13,112.36
2018-11,138.04,112.91
2018-12,138.04,114.91
2019-01,126.09,112.91
2019-02,125.0,111.64
2019-03,128.26,112.55
