Jaar-Maand,Aantal faillissementen (12-maands som)
2005-12,106
2006-01,106
2006-02,105
2006-03,111
2006-04,108
2006-05,111
2006-06,107
2006-07,103
2006-08,100
2006-09,101
2006-10,96
2006-11,98
2006-12,90
2007-01,96
2007-02,98
2007-03,99
2007-04,102
2007-05,95
2007-06,95
2007-07,97
2007-08,98
2007-09,91
2007-10,94
2007-11,94
2007-12,94
2008-01,92
2008-02,91
2008-03,87
2008-04,91
2008-05,94
2008-06,100
2008-07,100
2008-08,95
2008-09,102
2008-10,104
2008-11,107
2008-12,111
2009-01,112
2009-02,113
2009-03,117
2009-04,110
2009-05,106
2009-06,105
2009-07,106
2009-08,111
2009-09,107
2009-10,114
2009-11,111
2009-12,113
2010-01,108
2010-02,116
2010-03,117
2010-04,125
2010-05,137
2010-06,137
2010-07,133
2010-08,133
2010-09,133
2010-10,119
2010-11,115
2010-12,115
2011-01,116
2011-02,105
2011-03,106
2011-04,99
2011-05,95
2011-06,92
2011-07,96
2011-08,97
2011-09,95
2011-10,101
2011-11,103
2011-12,101
2012-01,96
2012-02,105
2012-03,105
2012-04,117
2012-05,118
2012-06,122
2012-07,124
2012-08,125
2012-09,127
2012-10,134
2012-11,143
2012-12,145
2013-01,149
2013-02,149
2013-03,156
2013-04,158
2013-05,159
2013-06,160
2013-07,160
2013-08,163
2013-09,179
2013-10,179
2013-11,176
2013-12,181
2014-01,190
2014-02,192
2014-03,185
2014-04,183
2014-05,178
2014-06,185
2014-07,190
2014-08,189
2014-09,182
2014-10,189
2014-11,193
2014-12,189
2015-01,186
2015-02,178
2015-03,178
2015-04,176
2015-05,178
2015-06,174
2015-07,168
2015-08,171
2015-09,168
2015-10,154
2015-11,148
2015-12,146
2016-01,139
2016-02,142
2016-03,142
2016-04,138
2016-05,135
2016-06,133
2016-07,133
2016-08,125
2016-09,126
2016-10,127
2016-11,128
2016-12,125
2017-01,134
2017-02,130
2017-03,131
2017-04,127
2017-05,123
2017-06,124
2017-07,126
2017-08,130
2017-09,125
2017-10,122
2017-11,124
2017-12,122
2018-01,125
2018-02,127
2018-03,127
2018-04,133
2018-05,131
2018-06,127
2018-07,121
2018-08,121
2018-09,123
2018-10,128
2018-11,127
2018-12,127
2019-01,116
2019-02,115
2019-03,118
2019-04,119
2019-05,134
2019-06,137
2019-07,147
2019-08,145
2019-09,151
2019-10,152
2019-11,143
2019-12,146
2020-01,148
2020-02,152
2020-03,146
2020-04,138
2020-05,130
2020-06,127
2020-07,119
2020-08,123
2020-09,118
2020-10,113
2020-11,118
2020-12,111
2021-01,108
2021-02,101
2021-03,107
2021-04,120
2021-05,119
2021-06,122
2021-07,125
2021-08,119
2021-09,115
2021-10,121
2021-11,129
2021-12,140
2022-01,144
2022-02,156
2022-03,158
2022-04,147
2022-05,157
2022-06,160
2022-07,165
2022-08,171
2022-09,189
2022-10,188
2022-11,186
2022-12,189
2023-01,196
2023-02,194
2023-03,200
2023-04,201
2023-05,205
2023-06,209
2023-07,210
2023-08,205
2023-09,195
2023-10,205
2023-11,210
2023-12,215
2024-01,217
2024-02,224
2024-03,221
2024-04,223
2024-05,215
2024-06,219
2024-07,213
2024-08,215
2024-09,216
2024-10,210
2024-11,212
2024-12,219
2025-01,213
2025-02,215
2025-03,212
2025-04,219
2025-05,233
2025-06,232
2025-07,236
2025-08,235
2025-09,249
2025-10,254
