Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
West-Vlaanderen,2008,100.0,100.0
West-Vlaanderen,2009,92.5,96.68
West-Vlaanderen,2010,93.76,103.55
West-Vlaanderen,2011,102.83,106.91
West-Vlaanderen,2012,96.88,103.98
West-Vlaanderen,2013,87.33,94.1
West-Vlaanderen,2014,92.3,131.07
West-Vlaanderen,2015,96.49,117.19
West-Vlaanderen,2016,103.02,140.21
West-Vlaanderen,2017,116.37,141.28
West-Vlaanderen,2018,126.9,144.65
West-Vlaanderen,2019,168.52,151.48
West-Vlaanderen,2020,174.37,155.97
West-Vlaanderen,2021,202.24,169.37
West-Vlaanderen,2022,180.9,209.35
West-Vlaanderen,2023,170.18,174.61
